# source: MAM via sealed Tanakh token streams; license: CC BY-SA (MAM, he.wikisource); per-book stream sha256 in build-receipt-v1.json
work_id,unit_id,before_token_ordinal,kind,source_row_index,was_normalized_key
"tanakh/exodus","exodus-21-11",69801165,"setumah",6922,"ס"
"tanakh/exodus","exodus-21-15",69801199,"setumah",6956,"ס"
"tanakh/exodus","exodus-22-4",69801504,"setumah",7261,"ס"
"tanakh/exodus","exodus-22-8",69801564,"setumah",7321,"ס"
"tanakh/exodus","exodus-22-18",69801652,"setumah",7409,"ס"
"tanakh/exodus","exodus-22-26",69801726,"setumah",7483,"ס"
"tanakh/exodus","exodus-23-25",69802023,"setumah",7780,"ס"
"tanakh/exodus","exodus-25-9",69802394,"setumah",8151,"ס"
"tanakh/exodus","exodus-27-19",69803393,"setumah",9150,"ס"
"tanakh/exodus","exodus-33-23",69805874,"petuchah",11631,"פ"
"tanakh/exodus","exodus-35-29",69806635,"petuchah",12392,"פ"
"tanakh/exodus","exodus-36-13",69806890,"petuchah",12647,"פ"
"tanakh/exodus","exodus-37-16",69807335,"petuchah",13092,"פ"
"tanakh/exodus","exodus-38-20",69807714,"setumah",13471,"ס"
"tanakh/exodus","exodus-39-5",69807936,"setumah",13693,"ס"
"tanakh/exodus","exodus-39-21",69808118,"petuchah",13875,"פ"
"tanakh/ezra","ezra-1-6",69825487,"petuchah",101,"פ"
"tanakh/ezra","ezra-1-8",69825511,"setumah",125,"ס"
"tanakh/ezra","ezra-1-9",69825522,"setumah",136,"ס"
"tanakh/ezra","ezra-1-11",69825550,"petuchah",164,"פ"
"tanakh/ezra","ezra-2-2",69825584,"setumah",198,"ס"
"tanakh/ezra","ezra-2-3",69825591,"setumah",205,"ס"
"tanakh/ezra","ezra-2-4",69825598,"setumah",212,"ס"
"tanakh/ezra","ezra-2-5",69825605,"setumah",219,"ס"
"tanakh/ezra","ezra-2-6",69825616,"setumah",230,"ס"
"tanakh/ezra","ezra-2-7",69825623,"setumah",237,"ס"
"tanakh/ezra","ezra-2-8",69825630,"setumah",244,"ס"
"tanakh/ezra","ezra-2-9",69825636,"setumah",250,"ס"
"tanakh/ezra","ezra-2-10",69825643,"setumah",257,"ס"
"tanakh/ezra","ezra-2-11",69825650,"setumah",264,"ס"
"tanakh/ezra","ezra-2-12",69825657,"setumah",271,"ס"
"tanakh/ezra","ezra-2-13",69825664,"setumah",278,"ס"
"tanakh/ezra","ezra-2-14",69825670,"setumah",284,"ס"
"tanakh/ezra","ezra-2-15",69825677,"setumah",291,"ס"
"tanakh/ezra","ezra-2-16",69825682,"setumah",296,"ס"
"tanakh/ezra","ezra-2-17",69825689,"setumah",303,"ס"
"tanakh/ezra","ezra-2-18",69825695,"setumah",309,"ס"
"tanakh/ezra","ezra-2-19",69825701,"setumah",315,"ס"
"tanakh/ezra","ezra-2-20",69825706,"setumah",320,"ס"
"tanakh/ezra","ezra-2-21",69825712,"setumah",326,"ס"
"tanakh/ezra","ezra-2-22",69825717,"setumah",331,"ס"
"tanakh/ezra","ezra-2-23",69825723,"setumah",337,"ס"
"tanakh/ezra","ezra-2-24",69825728,"setumah",342,"ס"
"tanakh/ezra","ezra-2-25",69825738,"setumah",352,"ס"
"tanakh/ezra","ezra-2-26",69825746,"setumah",360,"ס"
"tanakh/ezra","ezra-2-27",69825752,"setumah",366,"ס"
"tanakh/ezra","ezra-2-28",69825759,"setumah",373,"ס"
"tanakh/ezra","ezra-2-29",69825764,"setumah",378,"ס"
"tanakh/ezra","ezra-2-30",69825770,"setumah",384,"ס"
"tanakh/ezra","ezra-2-31",69825778,"setumah",392,"ס"
"tanakh/ezra","ezra-2-32",69825784,"setumah",398,"ס"
"tanakh/ezra","ezra-2-33",69825792,"setumah",406,"ס"
"tanakh/ezra","ezra-2-34",69825799,"setumah",413,"ס"
"tanakh/ezra","ezra-2-35",69825807,"setumah",421,"ס"
"tanakh/ezra","ezra-2-37",69825824,"setumah",438,"ס"
"tanakh/ezra","ezra-2-38",69825831,"setumah",445,"ס"
"tanakh/ezra","ezra-2-39",69825837,"setumah",451,"ס"
"tanakh/ezra","ezra-2-40",69825845,"setumah",459,"ס"
