"work_id","work_title","source_ref","anchor_id","translation","translator_notes","status"
"maaseh-rav","Maaseh Rav","Maaseh Rav 1:1","maaseh-rav-1-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 2:1","maaseh-rav-2-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 3:1","maaseh-rav-3-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 4:1","maaseh-rav-4-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 5:1","maaseh-rav-5-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 6:1","maaseh-rav-6-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 7:1","maaseh-rav-7-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 8:1","maaseh-rav-8-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 9:1","maaseh-rav-9-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 10:1","maaseh-rav-10-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 11:1","maaseh-rav-11-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 12:1","maaseh-rav-12-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 13:1","maaseh-rav-13-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 14:1","maaseh-rav-14-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 15:1","maaseh-rav-15-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 16:1","maaseh-rav-16-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 17:1","maaseh-rav-17-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 18:1","maaseh-rav-18-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 19:1","maaseh-rav-19-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 20:1","maaseh-rav-20-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 21:1","maaseh-rav-21-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 22:1","maaseh-rav-22-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 23:1","maaseh-rav-23-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 24:1","maaseh-rav-24-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 25:1","maaseh-rav-25-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 26:1","maaseh-rav-26-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 27:1","maaseh-rav-27-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 28:1","maaseh-rav-28-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 29:1","maaseh-rav-29-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 30:1","maaseh-rav-30-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 31:1","maaseh-rav-31-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 32:1","maaseh-rav-32-1","","",""
"maaseh-rav","Maaseh Rav","Maaseh Rav 33:1","maaseh-rav-33-1","","",""
