"work_id","work_title","source_refs","surface_word","normalized_word","lexical_status","renderings","reason","source_name","source_id","license"
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Introduction:3","בכמה","בכמה","Potential","to pine after / long. / properly / interrogative what? (including how? why? when? ) / but also exclamation / what! (including how! ) / indefinitely what (including whatever / and even relatively / that which ) / often used with prefixes in various adverbial / how great (mighty) / that which / what(-soever) / why.","Potential gloss contains noisy term: lama.","Wikidata Lexeme; OpenScriptures HebrewLexicon; OpenScriptures morphHB; OpenScriptures morphHB","L212140; H3642; H4100; H4101","CC0; CC BY 4.0; CC BY 4.0; CC BY 4.0"
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:5","במה","במה","Potential","an elevation / height / high place / wave. / Bamah / a place in Palestine / Bamah. See also 1120 . / (as indefinitely) that / + what. / properly / interrogative what? (including how? why? when? ) / but also exclamation / what! (including how! ) / indefinitely what (including whatever / and even relatively / that which ) / often used with prefixes in various adverbial","Potential gloss contains noisy term: lama.","OpenScriptures HebrewLexicon; OpenScriptures HebrewLexicon; OpenScriptures morphHB; OpenScriptures morphHB","H1116; H1117; H3964; H4100","CC BY 4.0; CC BY 4.0; CC BY 4.0; CC BY 4.0"
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:4; Aderet Eliyahu, Genesis 1:1:12","במחשבה","במחשבה","Potential","properly / to plait / interpenetrate / i.e. (literally) to weave / (generally) to fabricate / figuratively / to plot / contrive (usually in a malicious sense) / Cashubah / an Israelite / Hashubah. / a contrivance / i.e. (concretely) a texture / machine / (abstractly) intention / plan (whether bad / a plot / good / advice)","Potential gloss contains noisy term: contrivance.","Wikidata Lexeme; Wikidata Lexeme; Wikidata Lexeme; OpenScriptures morphHB; OpenScriptures HebrewLexicon; OpenScriptures HebrewLexicon","L210891; L65382; L66186; H2803; H2807; H4284","CC0; CC0; CC0; CC BY 4.0; CC BY 4.0; CC BY 4.0"
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:4; Aderet Eliyahu, Genesis 1:1:12","במחשבה","במחשבה","Potential","properly / to plait / interpenetrate / i.e. (literally) to weave / (generally) to fabricate / figuratively / to plot / contrive (usually in a malicious sense) / Cashubah / an Israelite / Hashubah. / a contrivance / i.e. (concretely) a texture / machine / (abstractly) intention / plan (whether bad / a plot / good / advice)","Potential gloss contains noisy term: machine.","Wikidata Lexeme; Wikidata Lexeme; Wikidata Lexeme; OpenScriptures morphHB; OpenScriptures HebrewLexicon; OpenScriptures HebrewLexicon","L210891; L65382; L66186; H2803; H2807; H4284","CC0; CC0; CC0; CC BY 4.0; CC BY 4.0; CC BY 4.0"
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:4; Aderet Eliyahu, Genesis 1:1:12","במחשבה","במחשבה","Potential","properly / to plait / interpenetrate / i.e. (literally) to weave / (generally) to fabricate / figuratively / to plot / contrive (usually in a malicious sense) / Cashubah / an Israelite / Hashubah. / a contrivance / i.e. (concretely) a texture / machine / (abstractly) intention / plan (whether bad / a plot / good / advice)","Potential gloss contains noisy term: plot.","Wikidata Lexeme; Wikidata Lexeme; Wikidata Lexeme; OpenScriptures morphHB; OpenScriptures HebrewLexicon; OpenScriptures HebrewLexicon","L210891; L65382; L66186; H2803; H2807; H4284","CC0; CC0; CC0; CC BY 4.0; CC BY 4.0; CC BY 4.0"
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:12","בעיר","בעיר","Potential","cattle / beast / cattle. / to wake (literally / figuratively) / (a-) wake(-n / up) / lift up (self) / × master / raise (up) / stir up (self). / a city (a place guarded by waking / a watch) in the widest sense (even of a mere encampment / post ) / Ai (from margin) / city / court (from margin) / town. / Ir / an Israelite / Ir. / a watcher / i.e. an angel (as guardian) / watcher. / properly / a young ass (as just broken to a load) / hence an ass-colt / (ass) colt / foal / young ass. / Irham-Melach / a place near Palestine / the city of salt. / Ir-Nachash / a place in Palestine / Irnahash. / Ir-Shemesh / Irshemesh.","Potential gloss contains noisy term: ass.","OpenScriptures HebrewLexicon; OpenScriptures morphHB; OpenScriptures morphHB; OpenScriptures HebrewLexicon; OpenScriptures HebrewLexicon; OpenScriptures HebrewLexicon; OpenScriptures morphHB; OpenScriptures morphHB; OpenScriptures morphHB","H1165; H5782; H5892; H5893; H5894; H5895; H5898; H5904; H5905","CC BY 4.0; CC BY 4.0; CC BY 4.0; CC BY 4.0; CC BY 4.0; CC BY 4.0; CC BY 4.0; CC BY 4.0; CC BY 4.0"
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:7","גלגל","גלגל","Potential","wheel, one of the six simple machines, a circular item that rotates about an axial bearing / wheel / bicycle wheel / a wheel / by analogy / a whirlwind / also dust (as whirled ) / heaven / rolling thing / wheel. / Gilgal / the name of three places in Palestine / Gilgal. See also 1019 .","Potential gloss contains noisy term: machine.","Wikidata Lexeme; Wikidata Lexeme; Wikidata Lexeme; OpenScriptures HebrewLexicon; OpenScriptures HebrewLexicon; OpenScriptures HebrewLexicon; OpenScriptures HebrewLexicon","L206091; L206258; L64522; H1534; H1535; H1536; H1537","CC0; CC0; CC0; CC BY 4.0; CC BY 4.0; CC BY 4.0; CC BY 4.0"
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Introduction:5","האמתי","האמתי","Potential","fright / concrete / an idol (as a bugbear) / dread / fear / horror / idol / terrible / a mother (as the bond of the family) / in a wide sense (both literally and figuratively [like father]) / dam / mother / × parting. / a maid-servant / female slave / (hand-) bondmaid(-woman) / maid(-servant). / Amittai / an Israelite / Amittai.","Potential gloss contains noisy term: female slave.","Wikidata Lexeme; Wikidata Lexeme; OpenScriptures morphHB; OpenScriptures morphHB; OpenScriptures morphHB; OpenScriptures HebrewLexicon","L204788; L205040; H367; H517; H519; H573","CC0; CC0; CC BY 4.0; CC BY 4.0; CC BY 4.0; CC BY 4.0"
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:3; Aderet Eliyahu, Leviticus 1:1:4","הבית","הבית","Potential","a house (in the greatest variation of applications / especially family / etc.) / court / daughter / door / + dungeon / family / Bajith / a place in Palestine / Bajith. / byte / home, dwelling-place used as a permanent residence / home / house / house. / Beth-Aven / Beth-aven. / Beth-El / Beth-el. / Beth-Arbel / Beth-Arbel. / Beth-Baal-Meon / Beth-baal-meon. Compare 1186 and 1194 . / Beth-Biri / Bethbirei.","בית/הבית byte homograph should not be a default Hebrew-context match.","OpenScriptures morphHB; OpenScriptures morphHB; Wikidata Lexeme; Wikidata Lexeme; Wikidata Lexeme; Wikidata Lexeme; OpenScriptures HebrewLexicon; OpenScriptures morphHB; OpenScriptures morphHB; OpenScriptures morphHB; OpenScriptures morphHB; OpenScriptures morphHB","H1004; H1006; L205563; L205757; L491142; L64262; H1005; H1007; H1008; H1009; H1010; H1011","CC BY 4.0; CC BY 4.0; CC0; CC0; CC0; CC0; CC BY 4.0; CC BY 4.0; CC BY 4.0; CC BY 4.0; CC BY 4.0; CC BY 4.0"
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:3; Aderet Eliyahu, Leviticus 1:1:4","הבית","הבית","Potential","a house (in the greatest variation of applications / especially family / etc.) / court / daughter / door / + dungeon / family / Bajith / a place in Palestine / Bajith. / byte / home, dwelling-place used as a permanent residence / home / house / house. / Beth-Aven / Beth-aven. / Beth-El / Beth-el. / Beth-Arbel / Beth-Arbel. / Beth-Baal-Meon / Beth-baal-meon. Compare 1186 and 1194 . / Beth-Biri / Bethbirei.","Potential gloss contains noisy term: byte.","OpenScriptures morphHB; OpenScriptures morphHB; Wikidata Lexeme; Wikidata Lexeme; Wikidata Lexeme; Wikidata Lexeme; OpenScriptures HebrewLexicon; OpenScriptures morphHB; OpenScriptures morphHB; OpenScriptures morphHB; OpenScriptures morphHB; OpenScriptures morphHB","H1004; H1006; L205563; L205757; L491142; L64262; H1005; H1007; H1008; H1009; H1010; H1011","CC BY 4.0; CC BY 4.0; CC0; CC0; CC0; CC0; CC BY 4.0; CC BY 4.0; CC BY 4.0; CC BY 4.0; CC BY 4.0; CC BY 4.0"
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Introduction:2","הדקות","הדקות","Potential","crushed / i.e. (by implication) small / thin / dwarf / lean(-fleshed) / very little thing / small / thin. / to crush ( / intransitively) crumble / beat in pieces (small) / bruise / make dust / (into) × powder / (be / very) small / minute, unit of time / minute","Potential gloss contains noisy term: nut.","OpenScriptures morphHB; OpenScriptures morphHB; Wikidata Lexeme; Wikidata Lexeme","H1851; H1854; L491180; L64737","CC BY 4.0; CC BY 4.0; CC0; CC0"
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Introduction:3","הומה","הומה","Potential","to make a loud sound (like English 'hum') / by implication / to be in great commotion / tumult / to rage / war / moan / clamor / properly / interrogative what? (including how? why? when? ) / but also exclamation / what! (including how! ) / indefinitely what (including whatever / and even relatively / that which ) / often used with prefixes in various adverbial / how great (mighty) / that which / what(-soever) / why.","Potential gloss contains noisy term: lama.","Wikidata Lexeme; Wikidata Lexeme; OpenScriptures morphHB; OpenScriptures morphHB; OpenScriptures morphHB","L207216; L208200; H1993; H4100; H4101","CC0; CC0; CC BY 4.0; CC BY 4.0; CC BY 4.0"
"aderet-eliyahu","Aderet Eliyahu","Aderet Eliyahu, Genesis 1:1:3","החושך","החושכ","Potential","sense, physiological capacity of organisms that provides data for perception / sense / darkness, lack of light / darkness / to restrain / (reflex.) refrain / by implication / to refuse / spare / preserve / to observe / assuage","Potential gloss contains noisy term: ass.","Wikidata Lexeme; Wikidata Lexeme; OpenScriptures morphHB","L65210; L65211; H2820","CC0; CC0; CC BY 4.0"
