normalized,surface,occurrence_count,work_count,families,current_match,route_status,candidate_route_count,match_families,candidate_source,license_lane,display_eligible,hud_inspectable,prehud_allowed,blocker,top_works
שכתב,שכתב,51785,425,halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,46,citable_paraphrase_evidence; source_phrase_evidence; wiktionary_definition,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,beit-yosef:5448; arukh-hashulchan:4052; eliyah-rabbah-on-shulchan-arukh-orach-chayim:3191; drisha:2337; biur-halacha:1741
נמי,נמי,51534,503,halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,5,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,beit-yosef:5669; beit-meir-on-shulchan-arukh-even-haezer:2877; ketzot-hachoshen-on-shulchan-arukh-choshen-mishpat:2563; peri-megadim-on-orach-chayim:2217; drisha:1903
ועיינ,ועיין,49211,326,halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,5,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,minchat-chinukh:3166; peri-megadim-on-orach-chayim:1797; eliyah-rabbah-on-shulchan-arukh-orach-chayim:1676; urim-vetumim-urim:1570; toafot-reem:1552
לאו,לאו,41958,581,halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,5,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,beit-yosef:4031; minchat-chinukh:2831; arukh-hashulchan:2129; peri-megadim-on-orach-chayim:1396; brit-moshe:1032
הי׳,הי׳,41555,133,chasidut; halakhah,unresolved_lexical_row,no_route,0,,project_authored_rabbinic_abbreviation_table,project_authored_or_source_needed,false,false,false,abbreviation_expansion_needed_with_source_license_row,sefat-emet:4914; minchat-chinukh:2330; zera-kodesh:1995; maasai-lamelekh-on-mishneh-torah-the-chosen-temple:1810; peri-tzadik:1761
עיינ,עיין,41097,280,chasidut; halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,46,citable_paraphrase_evidence; source_phrase_evidence; wiktionary_definition,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,arukh-hashulchan:5773; minchat-chinukh:2180; biur-halacha:2063; yismach-moshe:2055; peri-megadim-on-orach-chayim:1696
וכתב,וכתב,40714,279,halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,5,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,beit-yosef:12010; drisha:2889; arukh-hashulchan:1869; prisha:1357; darkhei-moshe:1250
עכ״ל,עכ״ל,39737,289,halakhah; kabbalah,unresolved_lexical_row,answer_route_candidate_needs_gate,1,wiktionary_definition,review_existing_hud_route_before_dictionary_import,accepted_public_route_source_present,true,true,false,canonical_display_gate_required_before_prehud,baer-hetev-on-shulchan-arukh-choshen-mishpat:1955; darkhei-moshe:1941; toafot-reem:1830; ohr-hachammah-on-zohar:1539; baer-hetev-on-shulchan-arukh-yoreh-deah:1475
ע״ב,ע״ב,38493,238,chasidut; halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,5,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,tzafnat-paneach-on-mishneh-torah-heave-offerings:2844; yismach-moshe:1870; tzafnat-paneach-on-mishneh-torah-gifts-to-the-poor:1705; beer-hagolah-on-shulchan-arukh-choshen-mishpat:1470; tzafnat-paneach-on-mishneh-torah-foreign-worship-and-customs-of-the-nations:1201
לעיל,לעיל,37791,386,halakhah; kabbalah,unresolved_lexical_row,hud_evidence_only_or_source_review,5,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,minchat-chinukh:2166; ohr-hachammah-on-zohar:1877; drisha:1259; eliyah-rabbah-on-shulchan-arukh-orach-chayim:1052; ohr-penimi-on-talmud-eser-hasefirot:1047
דאמ,דאם,35122,277,halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,5,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,arukh-hashulchan:3642; minchat-chinukh:1896; urim-vetumim-tumim:1450; eliyah-rabbah-on-shulchan-arukh-orach-chayim:1109; drisha:1020
וזהו,וזהו,33325,202,chasidut; kabbalah; musar,unresolved_lexical_row,hud_evidence_only_or_source_review,5,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,shenei-luchot-haberit:1965; ohr-hachammah-on-zohar:1962; peri-tzadik:1916; noam-elimelekh:1709; sod-yesharim:1660
איסור,איסור,29077,239,halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,28,citable_paraphrase_evidence; source_phrase_evidence; wiktionary_definition,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,arukh-hashulchan:2850; minchat-chinukh:1522; beit-yosef:1307; peri-megadim-on-orach-chayim:1228; turei-zahav-on-shulchan-arukh-yoreh-deah:1228
הכי,הכי,28733,406,halakhah; kabbalah,unresolved_lexical_row,hud_evidence_only_or_source_review,47,citable_paraphrase_evidence; source_phrase_evidence; wiktionary_definition,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,beit-yosef:3757; haamek-sheilah-on-sheiltot-drav-achai-gaon:1450; ohr-hachammah-on-zohar:1391; drisha:1039; eliyah-rabbah-on-shulchan-arukh-orach-chayim:938
כגונ,כגון,28542,333,halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,46,citable_paraphrase_evidence; source_phrase_evidence; project_lexical,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,arukh-hashulchan:3672; beit-yosef:3231; minchat-chinukh:1819; drisha:677; chokhmat-adam:582
מ״ש,מ״ש,28383,323,chasidut; halakhah,unresolved_lexical_row,hud_evidence_only_or_source_review,1,source_phrase_evidence,review_existing_hud_route_before_dictionary_import,route_source_license_review_needed,false,true,false,hud_evidence_or_source_review_only,prisha:1001; urim-vetumim-tumim:959; peri-tzadik:940; ketzot-hachoshen-on-shulchan-arukh-choshen-mishpat:776; yismach-moshe:769
