lookup_shard,normalized,surface,hebrew,display_section,display_label,route_family,route_type,match_type,language,definition_or_claim,plain_note,phrase_hebrew,phrase_focus,phrase_context,source_ref,work_id,work_title,raw_score,score_handicap,adjusted_score,confidence_percent,answer_score,answer_eligible,answer_role,context_rank_score,part_of_speech,meaning_quality,form_of,morphology,source_row_count,source_names,source_families,source_ids,licenses,license_urls,source_urls,fields_used,source_notes,card_id
05d0,א,א,א,citable_paraphrase_evidence,Citable definition/paraphrase match,citable_paraphrase_evidence,citable_paraphrase_evidence,lemma definition plus licensed workbench usage,Hebrew,"Aleph or alef: the first letter of the Hebrew alphabet, coming before ב.; The numeral 1 in Hebrew numbering.",Source-backed citable paraphrase route; displayed percent is the route match percent.,בפ ק דברכות א ר אלעזר כל,א,בפ; ק; דברכות; ר; אלעזר; כל,"Abudarham, Weekday Prayers, Bedtime Recitation of Shema:5",abudarham,Abudarham,100,20,80,100,,false,evidence,,,paraphrase_evidence,,,2,"Hebrew Wiktionary data via Kaikki/Wiktextract; Abudarham. Lisbon, 1489.",kaikki; hebrew_source_text,kaikki-cac9403a1c547fed; source-version-03b64afe2cc6056e,CC BY-SA 4.0 / GFDL; Public Domain,https://en.wiktionary.org/wiki/Wiktionary:Copyrights; https://creativecommons.org/publicdomain/mark/1.0/,https://kaikki.org/dictionary/Hebrew/index.html; https://www.sefaria.org/Abudarham%2C_Weekday_Prayers%2C_Bedtime_Recitation_of_Shema:5,word; part of speech; glosses; forms/tags without examples; hebrew; source_ref; version_title; version_source; license,Kaikki Hebrew JSONL line 66. Examples and quotation translations excluded.; Hebrew usage evidence only. No English source-text translation is imported from this row.,citable-para-32a391d6b0c4030a
05d0,א,א,א,citable_paraphrase_evidence,Citable definition/paraphrase match,citable_paraphrase_evidence,citable_paraphrase_evidence,lemma definition plus licensed workbench usage,Hebrew,"Aleph or alef: the first letter of the Hebrew alphabet, coming before ב.; The numeral 1 in Hebrew numbering.",Source-backed citable paraphrase route; displayed percent is the route match percent.,והרי העומר שא א לעשותה ע י,א,והרי; העומר; שא; לעשותה; ע; י,"Abudarham, Third Gate; Blessings on Commandments:24",abudarham,Abudarham,100,20,80,100,,false,evidence,,,paraphrase_evidence,,,2,"Hebrew Wiktionary data via Kaikki/Wiktextract; Abudarham. Lisbon, 1489.",kaikki; hebrew_source_text,kaikki-cac9403a1c547fed; source-version-03b64afe2cc6056e,CC BY-SA 4.0 / GFDL; Public Domain,https://en.wiktionary.org/wiki/Wiktionary:Copyrights; https://creativecommons.org/publicdomain/mark/1.0/,https://kaikki.org/dictionary/Hebrew/index.html; https://www.sefaria.org/Abudarham%2C_Third_Gate;_Blessings_on_Commandments:24,word; part of speech; glosses; forms/tags without examples; hebrew; source_ref; version_title; version_source; license,Kaikki Hebrew JSONL line 66. Examples and quotation translations excluded.; Hebrew usage evidence only. No English source-text translation is imported from this row.,citable-para-32b482a3782517a2
05d0,א,א,א,citable_paraphrase_evidence,Citable definition/paraphrase match,citable_paraphrase_evidence,citable_paraphrase_evidence,lemma definition plus licensed workbench usage,Hebrew,"Aleph or alef: the first letter of the Hebrew alphabet, coming before ב.; The numeral 1 in Hebrew numbering.",Source-backed citable paraphrase route; displayed percent is the route match percent.,ואחר כך תפלה א כ קריאת שמע,א,ואחר; כך; תפלה; כ; קריאת; שמע,"Abudarham, First Gate; Laws of Kriat Shema:8",abudarham,Abudarham,100,20,80,100,,false,evidence,,,paraphrase_evidence,,,2,"Hebrew Wiktionary data via Kaikki/Wiktextract; Abudarham. Lisbon, 1489.",kaikki; hebrew_source_text,kaikki-cac9403a1c547fed; source-version-03b64afe2cc6056e,CC BY-SA 4.0 / GFDL; Public Domain,https://en.wiktionary.org/wiki/Wiktionary:Copyrights; https://creativecommons.org/publicdomain/mark/1.0/,https://kaikki.org/dictionary/Hebrew/index.html; https://www.sefaria.org/Abudarham%2C_First_Gate;_Laws_of_Kriat_Shema:8,word; part of speech; glosses; forms/tags without examples; hebrew; source_ref; version_title; version_source; license,Kaikki Hebrew JSONL line 66. Examples and quotation translations excluded.; Hebrew usage evidence only. No English source-text translation is imported from this row.,citable-para-3e60b233a53835e0
05d0,א,א,א,citable_paraphrase_evidence,Citable definition/paraphrase match,citable_paraphrase_evidence,citable_paraphrase_evidence,lemma definition plus licensed workbench usage,Hebrew,"Aleph or alef: the first letter of the Hebrew alphabet, coming before ב.; The numeral 1 in Hebrew numbering.",Source-backed citable paraphrase route; displayed percent is the route match percent.,דכתיב הגהה א א הא לא מחוורא,א,דכתיב; הגהה; א; הא; לא; מחוורא,"Abudarham, Third Gate; Blessings on Commandments:13",abudarham,Abudarham,100,20,80,100,,false,evidence,,,paraphrase_evidence,,,2,"Hebrew Wiktionary data via Kaikki/Wiktextract; Abudarham. Lisbon, 1489.",kaikki; hebrew_source_text,kaikki-cac9403a1c547fed; source-version-03b64afe2cc6056e,CC BY-SA 4.0 / GFDL; Public Domain,https://en.wiktionary.org/wiki/Wiktionary:Copyrights; https://creativecommons.org/publicdomain/mark/1.0/,https://kaikki.org/dictionary/Hebrew/index.html; https://www.sefaria.org/Abudarham%2C_Third_Gate;_Blessings_on_Commandments:13,word; part of speech; glosses; forms/tags without examples; hebrew; source_ref; version_title; version_source; license,Kaikki Hebrew JSONL line 66. Examples and quotation translations excluded.; Hebrew usage evidence only. No English source-text translation is imported from this row.,citable-para-56fadaf1f05ea6c6
05d0,א,א,א,citable_paraphrase_evidence,Citable definition/paraphrase match,citable_paraphrase_evidence,citable_paraphrase_evidence,lemma definition plus licensed workbench usage,Hebrew,"Aleph or alef: the first letter of the Hebrew alphabet, coming before ב.; The numeral 1 in Hebrew numbering.",Source-backed citable paraphrase route; displayed percent is the route match percent.,בהן וכת הרשב א הא דאמרינן בפר,א,בהן; וכת; הרשב; הא; דאמרינן; בפר,"Abudarham, Weekday Prayers, Morning Blessings:31",abudarham,Abudarham,100,20,80,100,,false,evidence,,,paraphrase_evidence,,,2,"Hebrew Wiktionary data via Kaikki/Wiktextract; Abudarham. Lisbon, 1489.",kaikki; hebrew_source_text,kaikki-cac9403a1c547fed; source-version-03b64afe2cc6056e,CC BY-SA 4.0 / GFDL; Public Domain,https://en.wiktionary.org/wiki/Wiktionary:Copyrights; https://creativecommons.org/publicdomain/mark/1.0/,https://kaikki.org/dictionary/Hebrew/index.html; https://www.sefaria.org/Abudarham%2C_Weekday_Prayers%2C_Morning_Blessings:31,word; part of speech; glosses; forms/tags without examples; hebrew; source_ref; version_title; version_source; license,Kaikki Hebrew JSONL line 66. Examples and quotation translations excluded.; Hebrew usage evidence only. No English source-text translation is imported from this row.,citable-para-606a81ecbb3ea992
05d0,א,א,א,citable_paraphrase_evidence,Citable definition/paraphrase match,citable_paraphrase_evidence,citable_paraphrase_evidence,lemma definition plus licensed workbench usage,Hebrew,"Aleph or alef: the first letter of the Hebrew alphabet, coming before ב.; The numeral 1 in Hebrew numbering.",Source-backed citable paraphrase route; displayed percent is the route match percent.,קללת אלוקים תלוי א ר מאיר מאי,א,קללת; אלוקים; תלוי; ר; מאיר; מאי,"Abudarham, Third Gate; Blessings on Commandments:17",abudarham,Abudarham,100,20,80,100,,false,evidence,,,paraphrase_evidence,,,2,"Hebrew Wiktionary data via Kaikki/Wiktextract; Abudarham. Lisbon, 1489.",kaikki; hebrew_source_text,kaikki-cac9403a1c547fed; source-version-03b64afe2cc6056e,CC BY-SA 4.0 / GFDL; Public Domain,https://en.wiktionary.org/wiki/Wiktionary:Copyrights; https://creativecommons.org/publicdomain/mark/1.0/,https://kaikki.org/dictionary/Hebrew/index.html; https://www.sefaria.org/Abudarham%2C_Third_Gate;_Blessings_on_Commandments:17,word; part of speech; glosses; forms/tags without examples; hebrew; source_ref; version_title; version_source; license,Kaikki Hebrew JSONL line 66. Examples and quotation translations excluded.; Hebrew usage evidence only. No English source-text translation is imported from this row.,citable-para-631673a8624e9c8c
05d0,א,א,א,citable_paraphrase_evidence,Citable definition/paraphrase match,citable_paraphrase_evidence,citable_paraphrase_evidence,lemma definition plus licensed workbench usage,Hebrew,"Aleph or alef: the first letter of the Hebrew alphabet, coming before ב.; The numeral 1 in Hebrew numbering.",Source-backed citable paraphrase route; displayed percent is the route match percent.,אתה ועושה נפלאות א ר תנחומא בשם,א,אתה; ועושה; נפלאות; ר; תנחומא; בשם,"Abudarham, Weekday Prayers, Morning Blessings:14",abudarham,Abudarham,100,20,80,100,,false,evidence,,,paraphrase_evidence,,,2,"Hebrew Wiktionary data via Kaikki/Wiktextract; Abudarham. Lisbon, 1489.",kaikki; hebrew_source_text,kaikki-cac9403a1c547fed; source-version-03b64afe2cc6056e,CC BY-SA 4.0 / GFDL; Public Domain,https://en.wiktionary.org/wiki/Wiktionary:Copyrights; https://creativecommons.org/publicdomain/mark/1.0/,https://kaikki.org/dictionary/Hebrew/index.html; https://www.sefaria.org/Abudarham%2C_Weekday_Prayers%2C_Morning_Blessings:14,word; part of speech; glosses; forms/tags without examples; hebrew; source_ref; version_title; version_source; license,Kaikki Hebrew JSONL line 66. Examples and quotation translations excluded.; Hebrew usage evidence only. No English source-text translation is imported from this row.,citable-para-648c16f2d611be32
05d0,א,א,א,citable_paraphrase_evidence,Citable definition/paraphrase match,citable_paraphrase_evidence,citable_paraphrase_evidence,lemma definition plus licensed workbench usage,Hebrew,"Aleph or alef: the first letter of the Hebrew alphabet, coming before ב.; The numeral 1 in Hebrew numbering.",Source-backed citable paraphrase route; displayed percent is the route match percent.,מה בחלוף אותיות א ת ב ש,א,מה; בחלוף; אותיות; ת; ב; ש,"Abudarham, Third Gate; Blessings on Commandments:33",abudarham,Abudarham,100,20,80,100,,false,evidence,,,paraphrase_evidence,,,2,"Hebrew Wiktionary data via Kaikki/Wiktextract; Abudarham. Lisbon, 1489.",kaikki; hebrew_source_text,kaikki-cac9403a1c547fed; source-version-03b64afe2cc6056e,CC BY-SA 4.0 / GFDL; Public Domain,https://en.wiktionary.org/wiki/Wiktionary:Copyrights; https://creativecommons.org/publicdomain/mark/1.0/,https://kaikki.org/dictionary/Hebrew/index.html; https://www.sefaria.org/Abudarham%2C_Third_Gate;_Blessings_on_Commandments:33,word; part of speech; glosses; forms/tags without examples; hebrew; source_ref; version_title; version_source; license,Kaikki Hebrew JSONL line 66. Examples and quotation translations excluded.; Hebrew usage evidence only. No English source-text translation is imported from this row.,citable-para-668832be9fb8a7c4
05d0,א,א,א,citable_paraphrase_evidence,Citable definition/paraphrase match,citable_paraphrase_evidence,citable_paraphrase_evidence,lemma definition plus licensed workbench usage,Hebrew,"Aleph or alef: the first letter of the Hebrew alphabet, coming before ב.; The numeral 1 in Hebrew numbering.",Source-backed citable paraphrase route; displayed percent is the route match percent.,בפ ק דברכות א ר יוסי בר,א,בפ; ק; דברכות; ר; יוסי; בר,"Abudarham, Weekday Prayers, Morning Blessings:2",abudarham,Abudarham,100,20,80,100,,false,evidence,,,paraphrase_evidence,,,2,"Hebrew Wiktionary data via Kaikki/Wiktextract; Abudarham. Lisbon, 1489.",kaikki; hebrew_source_text,kaikki-cac9403a1c547fed; source-version-03b64afe2cc6056e,CC BY-SA 4.0 / GFDL; Public Domain,https://en.wiktionary.org/wiki/Wiktionary:Copyrights; https://creativecommons.org/publicdomain/mark/1.0/,https://kaikki.org/dictionary/Hebrew/index.html; https://www.sefaria.org/Abudarham%2C_Weekday_Prayers%2C_Morning_Blessings:2,word; part of speech; glosses; forms/tags without examples; hebrew; source_ref; version_title; version_source; license,Kaikki Hebrew JSONL line 66. Examples and quotation translations excluded.; Hebrew usage evidence only. No English source-text translation is imported from this row.,citable-para-7d73430df9b2dd5a
05d0,א,א,א,citable_paraphrase_evidence,Citable definition/paraphrase match,citable_paraphrase_evidence,citable_paraphrase_evidence,lemma definition plus licensed workbench usage,Hebrew,"Aleph or alef: the first letter of the Hebrew alphabet, coming before ב.; The numeral 1 in Hebrew numbering.",Source-backed citable paraphrase route; displayed percent is the route match percent.,מברכת התורה שא א לעשותה ע י,א,מברכת; התורה; שא; לעשותה; ע; י,"Abudarham, Third Gate; Blessings on Commandments:24",abudarham,Abudarham,100,20,80,100,,false,evidence,,,paraphrase_evidence,,,2,"Hebrew Wiktionary data via Kaikki/Wiktextract; Abudarham. Lisbon, 1489.",kaikki; hebrew_source_text,kaikki-cac9403a1c547fed; source-version-03b64afe2cc6056e,CC BY-SA 4.0 / GFDL; Public Domain,https://en.wiktionary.org/wiki/Wiktionary:Copyrights; https://creativecommons.org/publicdomain/mark/1.0/,https://kaikki.org/dictionary/Hebrew/index.html; https://www.sefaria.org/Abudarham%2C_Third_Gate;_Blessings_on_Commandments:24,word; part of speech; glosses; forms/tags without examples; hebrew; source_ref; version_title; version_source; license,Kaikki Hebrew JSONL line 66. Examples and quotation translations excluded.; Hebrew usage evidence only. No English source-text translation is imported from this row.,citable-para-918337c1c6a0e548
