"work_id","work_title","source_ref","anchor_id","translation","translator_notes","status"
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 3 1:8","shaarei-kedusha-part-3-part-3-1-8","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 3 1:9","shaarei-kedusha-part-3-part-3-1-9","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 3 1:10","shaarei-kedusha-part-3-part-3-1-10","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 3 1:11","shaarei-kedusha-part-3-part-3-1-11","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 3 1:12","shaarei-kedusha-part-3-part-3-1-12","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 3 1:13","shaarei-kedusha-part-3-part-3-1-13","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 3 1:14","shaarei-kedusha-part-3-part-3-1-14","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 3 1:15","shaarei-kedusha-part-3-part-3-1-15","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 3 1:16","shaarei-kedusha-part-3-part-3-1-16","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 3 1:17","shaarei-kedusha-part-3-part-3-1-17","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 3 1:18","shaarei-kedusha-part-3-part-3-1-18","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 3 1:19","shaarei-kedusha-part-3-part-3-1-19","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 3 1:20","shaarei-kedusha-part-3-part-3-1-20","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 3 1:21","shaarei-kedusha-part-3-part-3-1-21","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 4 1:1","shaarei-kedusha-part-4-part-4-1-1","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 4 1:2","shaarei-kedusha-part-4-part-4-1-2","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 4 1:3","shaarei-kedusha-part-4-part-4-1-3","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 4 1:4","shaarei-kedusha-part-4-part-4-1-4","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 4 1:5","shaarei-kedusha-part-4-part-4-1-5","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 4 1:6","shaarei-kedusha-part-4-part-4-1-6","","",""
