"work_id","work_title","source_ref","anchor_id","translation","translator_notes","status"
"gras-nuschah-on-tractate-semachot","Gra's Nuschah on Tractate Semachot","Gra's Nuschah on Tractate Semachot 1:1:1","gras-nuschah-on-tractate-semachot-1-1-1","","",""
"gras-nuschah-on-tractate-semachot","Gra's Nuschah on Tractate Semachot","Gra's Nuschah on Tractate Semachot 1:1:2","gras-nuschah-on-tractate-semachot-1-1-2","","",""
"gras-nuschah-on-tractate-semachot","Gra's Nuschah on Tractate Semachot","Gra's Nuschah on Tractate Semachot 2:1:1","gras-nuschah-on-tractate-semachot-2-1-1","","",""
"gras-nuschah-on-tractate-semachot","Gra's Nuschah on Tractate Semachot","Gra's Nuschah on Tractate Semachot 4:1:1","gras-nuschah-on-tractate-semachot-4-1-1","","",""
"gras-nuschah-on-tractate-semachot","Gra's Nuschah on Tractate Semachot","Gra's Nuschah on Tractate Semachot 4:1:2","gras-nuschah-on-tractate-semachot-4-1-2","","",""
"gras-nuschah-on-tractate-semachot","Gra's Nuschah on Tractate Semachot","Gra's Nuschah on Tractate Semachot 5:1:1","gras-nuschah-on-tractate-semachot-5-1-1","","",""
"gras-nuschah-on-tractate-semachot","Gra's Nuschah on Tractate Semachot","Gra's Nuschah on Tractate Semachot 6:1:1","gras-nuschah-on-tractate-semachot-6-1-1","","",""
"gras-nuschah-on-tractate-semachot","Gra's Nuschah on Tractate Semachot","Gra's Nuschah on Tractate Semachot 7:1:1","gras-nuschah-on-tractate-semachot-7-1-1","","",""
"gras-nuschah-on-tractate-semachot","Gra's Nuschah on Tractate Semachot","Gra's Nuschah on Tractate Semachot 9:1:1","gras-nuschah-on-tractate-semachot-9-1-1","","",""
"gras-nuschah-on-tractate-semachot","Gra's Nuschah on Tractate Semachot","Gra's Nuschah on Tractate Semachot 11:1:1","gras-nuschah-on-tractate-semachot-11-1-1","","",""
"gras-nuschah-on-tractate-semachot","Gra's Nuschah on Tractate Semachot","Gra's Nuschah on Tractate Semachot 11:1:2","gras-nuschah-on-tractate-semachot-11-1-2","","",""
"gras-nuschah-on-tractate-semachot","Gra's Nuschah on Tractate Semachot","Gra's Nuschah on Tractate Semachot 11:1:3","gras-nuschah-on-tractate-semachot-11-1-3","","",""
"gras-nuschah-on-tractate-semachot","Gra's Nuschah on Tractate Semachot","Gra's Nuschah on Tractate Semachot 11:1:4","gras-nuschah-on-tractate-semachot-11-1-4","","",""
"gras-nuschah-on-tractate-semachot","Gra's Nuschah on Tractate Semachot","Gra's Nuschah on Tractate Semachot 12:1:1","gras-nuschah-on-tractate-semachot-12-1-1","","",""
"gras-nuschah-on-tractate-semachot","Gra's Nuschah on Tractate Semachot","Gra's Nuschah on Tractate Semachot 13:1:1","gras-nuschah-on-tractate-semachot-13-1-1","","",""
"gras-nuschah-on-tractate-semachot","Gra's Nuschah on Tractate Semachot","Gra's Nuschah on Tractate Semachot 13:1:2","gras-nuschah-on-tractate-semachot-13-1-2","","",""
"gras-nuschah-on-tractate-semachot","Gra's Nuschah on Tractate Semachot","Gra's Nuschah on Tractate Semachot 13:1:3","gras-nuschah-on-tractate-semachot-13-1-3","","",""
"gras-nuschah-on-tractate-semachot","Gra's Nuschah on Tractate Semachot","Gra's Nuschah on Tractate Semachot 14:1:1","gras-nuschah-on-tractate-semachot-14-1-1","","",""
"gras-nuschah-on-tractate-semachot","Gra's Nuschah on Tractate Semachot","Gra's Nuschah on Tractate Semachot 14:1:2","gras-nuschah-on-tractate-semachot-14-1-2","","",""
"gras-nuschah-on-tractate-semachot","Gra's Nuschah on Tractate Semachot","Gra's Nuschah on Tractate Semachot 14:1:3","gras-nuschah-on-tractate-semachot-14-1-3","","",""
