work_id,units,parsed_units,unparsed_units,parse_laws,max_chapter,coordinate_collisions,y_state
"chasidut/kometz-haminchah",3,0,3,"",0,0,"UNPARSED_TYPED"
"chasidut/kuntres-hahitpa-alut",43,0,43,"",0,0,"UNPARSED_TYPED"
"chasidut/likkutei-maamarim",171,0,171,"",0,0,"UNPARSED_TYPED"
"chasidut/likutei-halakhot",5860,0,5860,"",0,0,"UNPARSED_TYPED"
"chasidut/likutei-moharan",7182,0,7182,"",0,0,"UNPARSED_TYPED"
"chasidut/machshavot-charutz",210,210,0,"CHAPTER_SECTION",21,0,"FULLY_PARSED"
"chasidut/maggid-devarav-leyaakov",277,0,277,"",0,0,"UNPARSED_TYPED"
"chasidut/maor-vashemesh",917,0,917,"",0,0,"UNPARSED_TYPED"
"chasidut/mekor-mayim-chayim-on-baal-shem-tov",1945,0,1945,"",0,0,"UNPARSED_TYPED"
"chasidut/meor-einayim",734,0,734,"",0,0,"UNPARSED_TYPED"
"chasidut/meshiv-hata-anah",1,0,1,"",0,0,"UNPARSED_TYPED"
"chasidut/meshiv-tzedek",104,0,104,"",0,0,"UNPARSED_TYPED"
"chasidut/mevo-hashearim",10,10,0,"VARIANT_A_DOUBLED",10,0,"FULLY_PARSED"
"chasidut/noam-elimelech",1,0,1,"",0,0,"UNPARSED_TYPED"
"chasidut/noam-elimelekh",1538,0,1538,"",0,0,"UNPARSED_TYPED"
"chasidut/ohev-yisrael",699,0,699,"",0,0,"UNPARSED_TYPED"
"chasidut/ohr-hameir",551,0,551,"",0,0,"UNPARSED_TYPED"
"chasidut/ohr-lashamayim",58,0,58,"",0,0,"UNPARSED_TYPED"
"chasidut/ohr-zarua-latzadik",57,0,57,"",0,0,"UNPARSED_TYPED"
"chasidut/peri-haaretz",247,0,247,"",0,0,"UNPARSED_TYPED"
"chasidut/peri-tzadik",1890,0,1890,"",0,0,"UNPARSED_TYPED"
"chasidut/poked-akarim",61,0,61,"",0,0,"UNPARSED_TYPED"
"chasidut/resisei-layla",149,149,0,"CHAPTER_SECTION",58,0,"FULLY_PARSED"
"chasidut/sefat-emet",7082,0,7082,"",0,0,"UNPARSED_TYPED"
"chasidut/sefer-hamiddot",2694,0,2694,"",0,0,"UNPARSED_TYPED"
"chasidut/sha-ar-haemunah-veyesod-hachasidut",57,0,57,"",0,0,"UNPARSED_TYPED"
"chasidut/sha-arei-avodah",165,0,165,"",0,0,"UNPARSED_TYPED"
"chasidut/sha-arei-hayichud-veemunah",162,0,162,"",0,0,"UNPARSED_TYPED"
"chasidut/shem-mishmuel",839,0,839,"",0,0,"UNPARSED_TYPED"
"chasidut/shivchei-habesht",342,0,342,"",0,0,"UNPARSED_TYPED"
"chasidut/shivchei-haran",63,0,63,"",0,0,"UNPARSED_TYPED"
"chasidut/sichat-malakhei-hasharet",176,0,176,"",0,0,"UNPARSED_TYPED"
"chasidut/sichat-shedim",16,16,0,"CHAPTER_SECTION",2,0,"FULLY_PARSED"
"chasidut/sichot-haran",308,0,308,"",0,0,"UNPARSED_TYPED"
"chasidut/sidduro-shel-shabbat",39,0,39,"",0,0,"UNPARSED_TYPED"
"chasidut/sippurei-maasiyot",509,0,509,"",0,0,"UNPARSED_TYPED"
"chasidut/sod-yesharim",1274,0,1274,"",0,0,"UNPARSED_TYPED"
"chasidut/takanat-hashavin",339,339,0,"CHAPTER_SECTION",15,0,"FULLY_PARSED"
"chasidut/tanya",119,0,119,"",0,0,"UNPARSED_TYPED"
"chasidut/the-gate-of-unity",54,0,54,"",0,0,"UNPARSED_TYPED"
"chasidut/tiferet-shlomo",1628,0,1628,"",0,0,"UNPARSED_TYPED"
"chasidut/toldot-yaakov-yosef",2,0,2,"",0,0,"UNPARSED_TYPED"
"chasidut/torah-ohr",146,0,146,"",0,0,"UNPARSED_TYPED"
"chasidut/tzav-vezeruz",35,35,0,"VARIANT_A_DOUBLED",35,0,"FULLY_PARSED"
"chasidut/tzavaat-harivash",312,312,0,"CHAPTER_SECTION",143,0,"FULLY_PARSED"
"chasidut/tzidkat-hatzadik",271,271,0,"CHAPTER_SECTION",264,0,"FULLY_PARSED"
"chasidut/tzofnat-paneach",119,0,119,"",0,0,"UNPARSED_TYPED"
"chasidut/yakar-mipaz",78,0,78,"",0,0,"UNPARSED_TYPED"
"chasidut/yismach-moshe",2012,0,2012,"",0,0,"UNPARSED_TYPED"
"chasidut/yisrael-kedoshim",189,189,0,"CHAPTER_SECTION",10,0,"FULLY_PARSED"
"chasidut/yosher-divrei-emet",110,0,110,"",0,0,"UNPARSED_TYPED"
"chasidut/zera-kodesh",1253,0,1253,"",0,0,"UNPARSED_TYPED"
"geonim/rav-hai-gaon-kohelet-moshe-b",1,1,0,"VARIANT_B_WSR",1,0,"FULLY_PARSED"
"geonim/teshuvot-hageonim-coronel",117,0,117,"",0,0,"UNPARSED_TYPED"
"geonim/teshuvot-hageonim-harkavy",558,558,0,"VARIANT_A_DOUBLED",559,0,"FULLY_PARSED"
"geonim/teshuvot-hageonim-shaarei-teshuva",349,349,0,"VARIANT_A_DOUBLED",352,0,"FULLY_PARSED"
"geonim/toratan-shel-rishonim",28,0,28,"",0,0,"UNPARSED_TYPED"
"gra/aderet-eliyahu",59,0,59,"",0,0,"UNPARSED_TYPED"
"gra/beur-hagra-on-jerusalem-talmud-bikkurim",170,0,170,"",0,0,"UNPARSED_TYPED"
"gra/beur-hagra-on-jerusalem-talmud-challah",657,0,657,"",0,0,"UNPARSED_TYPED"
"gra/beur-hagra-on-shulchan-arukh-choshen-mishpat",41,0,41,"",0,0,"UNPARSED_TYPED"
"gra/beur-hagra-on-shulchan-arukh-even-haezer",281,0,281,"",0,0,"UNPARSED_TYPED"
"gra/beur-hagra-on-shulchan-arukh-orach-chayim",2479,0,2479,"",0,0,"UNPARSED_TYPED"
"gra/beur-hagra-on-shulchan-arukh-yoreh-deah",7500,7500,0,"CHAPTER_SECTION",403,0,"FULLY_PARSED"
"gra/beur-hagra-on-sifra-detzniuta",297,297,0,"CHAPTER_SECTION",5,0,"FULLY_PARSED"
"gra/gra-on-pirkei-avot",20,0,20,"",0,0,"UNPARSED_TYPED"
"gra/gras-nuschah-on-avot-drabbi-natan",103,0,103,"",0,0,"UNPARSED_TYPED"
"gra/gras-nuschah-on-tractate-derekh-eretz-rabbah",16,0,16,"",0,0,"UNPARSED_TYPED"
"gra/gras-nuschah-on-tractate-derekh-eretz-zuta",4,0,4,"",0,0,"UNPARSED_TYPED"
"gra/gras-nuschah-on-tractate-kallah",6,0,6,"",0,0,"UNPARSED_TYPED"
"gra/gras-nuschah-on-tractate-semachot",20,0,20,"",0,0,"UNPARSED_TYPED"
"gra/gras-nuschah-on-tractate-soferim",30,0,30,"",0,0,"UNPARSED_TYPED"
"gra/hagra-on-sefer-yetzirah-gra-version",35,0,35,"",0,0,"UNPARSED_TYPED"
"gra/iggeret-hagra",16,0,16,"",0,0,"UNPARSED_TYPED"
"gra/kol-hator",228,228,0,"CHAPTER_SECTION",3,0,"FULLY_PARSED"
"gra/maaseh-rav",250,250,0,"CHAPTER_SECTION",250,0,"FULLY_PARSED"
"gra/nefesh-hachayim",164,0,164,"",0,0,"UNPARSED_TYPED"
"gra/sefer-yetzirah-gra-version",62,62,0,"CHAPTER_SECTION",6,0,"FULLY_PARSED"
"gra/yahel-ohr-on-zohar",238,0,238,"",0,0,"UNPARSED_TYPED"
