work_id,representation_id,legacy_v1_rights_profile_id,legacy_v1_normalized_license_id,legacy_v1_normalized_license_class,legacy_v1_license_version,legacy_v1_credit_line_state,legacy_v1_source_url_state,legacy_v1_license_link_state,legacy_v1_credit_authority_version_document_id,legacy_v1_credit_authority_document_oid,display_state,distribution_state,selection_descriptor_count,attribution_required_selection_count,public_domain_selection_count,selection_obligation_root_sha256,selection_raw_license_set_json,selection_attribution_posture_set_json,selection_rights_reconciliation_state
chasidut/sichot-haran,REP-28FFFFB0CBCA4B00164B87A1,RIGHTS-A84F3C617A53B7C52C04C4FA,LIC-CC-BY-SA-4.0,CC-BY-SA,4.0,DERIVED_ACTIVE_REPRESENTATION_PROVENANCE_LINE,EXACT_ACTIVE_REPRESENTATION_SOURCE_URL,DERIVED_CANONICAL_LICENSE_LINK_FROM_EXACT_NORMALIZED_4_0_ID,,,READY_PRESERVED_V1_NON_JPS_SELECTION,READY_LEGACY_V1_EXACT_VERSIONED_LICENSE_LINK,0,0,0,,[],[],PRESERVED_NON_JPS_V1_PROVENANCE__NOT_REDERIVED
chasidut/tanya,REP-1ECC4C3FC24DB045516B2402,RIGHTS-F485390BFEF67D0135EFF788,LIC-CC-BY-NC-UNVERSIONED,CC-BY-NC,UNSPECIFIED,DERIVED_ACTIVE_REPRESENTATION_PROVENANCE_LINE,EXACT_ACTIVE_REPRESENTATION_SOURCE_URL,HOLD_UNVERSIONED_LICENSE_LINK,,,READY_PRESERVED_V1_NON_JPS_SELECTION,HOLD_LEGACY_V1_UNVERSIONED_LICENSE_LINK,0,0,0,,[],[],PRESERVED_NON_JPS_V1_PROVENANCE__NOT_REDERIVED
chasidut/the-gate-of-unity,REP-99002F1CD26FC37123B88F0B,RIGHTS-B8F3BE822D70C01A4A45E7EE,LIC-CC-BY-UNVERSIONED,CC-BY,UNSPECIFIED,DERIVED_ACTIVE_REPRESENTATION_PROVENANCE_LINE,EXACT_ACTIVE_REPRESENTATION_SOURCE_URL,HOLD_UNVERSIONED_LICENSE_LINK,,,READY_PRESERVED_V1_NON_JPS_SELECTION,HOLD_LEGACY_V1_UNVERSIONED_LICENSE_LINK,0,0,0,,[],[],PRESERVED_NON_JPS_V1_PROVENANCE__NOT_REDERIVED
chasidut/toldot-yaakov-yosef,REP-11B4B90A38FE2C4B7F33474D,RIGHTS-F485390BFEF67D0135EFF788,LIC-CC-BY-NC-UNVERSIONED,CC-BY-NC,UNSPECIFIED,SEALED_READER_CREDIT_LINE,EXACT_ACTIVE_REPRESENTATION_SOURCE_URL,HOLD_UNVERSIONED_LICENSE_LINK,ESC006-V-F5DB0233B6BD72F15C9D43FF,609119607f9ca843f612f280,READY_PRESERVED_V1_NON_JPS_SELECTION,HOLD_LEGACY_V1_UNVERSIONED_LICENSE_LINK,0,0,0,,[],[],PRESERVED_NON_JPS_V1_PROVENANCE__NOT_REDERIVED
chasidut/torah-ohr,REP-C3F792B8897886AF8F6D02F4,RIGHTS-F485390BFEF67D0135EFF788,LIC-CC-BY-NC-UNVERSIONED,CC-BY-NC,UNSPECIFIED,SEALED_READER_CREDIT_LINE,EXACT_ACTIVE_REPRESENTATION_SOURCE_URL,HOLD_UNVERSIONED_LICENSE_LINK,ESC006-V-A2E5D9196E5825849A8D4F71,6395ab47ed88ce54f8002a52,READY_PRESERVED_V1_NON_JPS_SELECTION,HOLD_LEGACY_V1_UNVERSIONED_LICENSE_LINK,0,0,0,,[],[],PRESERVED_NON_JPS_V1_PROVENANCE__NOT_REDERIVED
chasidut/tzavaat-harivash,REP-2D802C4C7578522BE79E985A,RIGHTS-B8F3BE822D70C01A4A45E7EE,LIC-CC-BY-UNVERSIONED,CC-BY,UNSPECIFIED,DERIVED_ACTIVE_REPRESENTATION_PROVENANCE_LINE,EXACT_ACTIVE_REPRESENTATION_SOURCE_URL,HOLD_UNVERSIONED_LICENSE_LINK,,,READY_PRESERVED_V1_NON_JPS_SELECTION,HOLD_LEGACY_V1_UNVERSIONED_LICENSE_LINK,0,0,0,,[],[],PRESERVED_NON_JPS_V1_PROVENANCE__NOT_REDERIVED
chasidut/tzofnat-paneach,REP-FB5CB0F3D0AE95261664BF2B,RIGHTS-F485390BFEF67D0135EFF788,LIC-CC-BY-NC-UNVERSIONED,CC-BY-NC,UNSPECIFIED,SEALED_READER_CREDIT_LINE,EXACT_ACTIVE_REPRESENTATION_SOURCE_URL,HOLD_UNVERSIONED_LICENSE_LINK,ESC006-V-355ADE07BDAE7909F13DFC96,60b36b137000bd6ac0d4d0d9,READY_PRESERVED_V1_NON_JPS_SELECTION,HOLD_LEGACY_V1_UNVERSIONED_LICENSE_LINK,0,0,0,,[],[],PRESERVED_NON_JPS_V1_PROVENANCE__NOT_REDERIVED
geonim/rav-hai-gaon-kohelet-moshe-b,REP-5DC63400D59B582AA67198E7,RIGHTS-A84F3C617A53B7C52C04C4FA,LIC-CC-BY-SA-4.0,CC-BY-SA,4.0,DERIVED_ACTIVE_REPRESENTATION_PROVENANCE_LINE,EXACT_ACTIVE_REPRESENTATION_SOURCE_URL,DERIVED_CANONICAL_LICENSE_LINK_FROM_EXACT_NORMALIZED_4_0_ID,,,READY_PRESERVED_V1_NON_JPS_SELECTION,READY_LEGACY_V1_EXACT_VERSIONED_LICENSE_LINK,0,0,0,,[],[],PRESERVED_NON_JPS_V1_PROVENANCE__NOT_REDERIVED
gra/kol-hator,REP-2674A2326193C9972B8EF7FD,RIGHTS-E21F9C34406A3CAB4ECFCFE4,LIC-CC-BY-SA-UNVERSIONED,CC-BY-SA,UNSPECIFIED,SEALED_READER_CREDIT_LINE,EXACT_ACTIVE_REPRESENTATION_SOURCE_URL,HOLD_UNVERSIONED_LICENSE_LINK,ESC006-V-68C1E93A821AED849873BEF6,59a44cf0d6e4a938b1b74a29,READY_PRESERVED_V1_NON_JPS_SELECTION,HOLD_LEGACY_V1_UNVERSIONED_LICENSE_LINK,0,0,0,,[],[],PRESERVED_NON_JPS_V1_PROVENANCE__NOT_REDERIVED
gra/maaseh-rav,REP-9FC985D629810F3410B61234,RIGHTS-E21F9C34406A3CAB4ECFCFE4,LIC-CC-BY-SA-UNVERSIONED,CC-BY-SA,UNSPECIFIED,SEALED_READER_CREDIT_LINE,EXACT_ACTIVE_REPRESENTATION_SOURCE_URL,HOLD_UNVERSIONED_LICENSE_LINK,ESC006-V-5C49AEFD8C30BEB42A9994A5,52d6c622adefb197f0d02757,READY_PRESERVED_V1_NON_JPS_SELECTION,HOLD_LEGACY_V1_UNVERSIONED_LICENSE_LINK,0,0,0,,[],[],PRESERVED_NON_JPS_V1_PROVENANCE__NOT_REDERIVED
