work,family,units,sites,P1,P2,P3,B,IW,class,example
mishnah/boaz-on-mishnah-negaim,unclassified_review,124,68,0,35,6,26,1,MIXED_P2,"boaz-on-mishnah-negaim-1-7 w152"
mishnah/boaz-on-mishnah-parah,unclassified_review,126,99,0,4,46,46,3,MIXED_P3,"boaz-on-mishnah-parah-1-1 w34"
mishnah/boaz-on-mishnah-peah,unclassified_review,35,98,0,2,94,2,0,P3,"boaz-on-mishnah-peah-1-1 w5"
mishnah/boaz-on-mishnah-pesachim,unclassified_review,19,16,0,1,9,6,0,MIXED_P3,"boaz-on-mishnah-pesachim-1-1 w34"
mishnah/boaz-on-mishnah-shabbat,unclassified_review,33,137,0,6,124,1,6,P3,"boaz-on-mishnah-shabbat-1-1 w6"
mishnah/boaz-on-mishnah-tahorot,unclassified_review,125,150,0,4,116,29,1,P3,"boaz-on-mishnah-tahorot-2-2 w28"
mishnah/boaz-on-mishnah-tamid,unclassified_review,13,49,0,7,40,2,0,P3,"boaz-on-mishnah-tamid-1-1 w77"
mishnah/boaz-on-mishnah-temurah,unclassified_review,12,60,0,8,42,4,6,P3,"boaz-on-mishnah-temurah-1-1 w79"
mishnah/boaz-on-mishnah-terumot,unclassified_review,24,41,0,1,40,0,0,P3,"boaz-on-mishnah-terumot-1-1 w55"
mishnah/boaz-on-mishnah-zevachim,unclassified_review,11,44,0,4,37,2,1,P3,"boaz-on-mishnah-zevachim-1-1 w88"
mishnah/boaz-on-pirkei-avot,midrash,10,32,0,7,20,5,0,MIXED_P3,"boaz-on-pirkei-avot-1-1 w8"
mishnah/mishnah-arakhin,mishnah,50,12,0,0,8,0,4,P3,"mishnah-arakhin-3-5 w40"
mishnah/mishnah-bava-kamma,mishnah,79,14,0,3,11,0,0,P3,"mishnah-bava-kamma-3-9 w56"
mishnah/mishnah-bava-metzia,mishnah,101,19,0,3,14,0,2,P3,"mishnah-bava-metzia-2-7 w47"
mishnah/mishnah-bekhorot,mishnah,73,25,0,5,19,0,1,P3,"mishnah-bekhorot-1-1 w23"
mishnah/mishnah-berakhot,mishnah,57,9,0,1,8,0,0,P3,"mishnah-berakhot-1-3 w23"
mishnah/mishnah-chullin,mishnah,74,15,0,0,11,0,4,P3,"mishnah-chullin-2-3 w64"
mishnah/mishnah-eduyot,mishnah,74,6,0,0,5,0,1,P3,"mishnah-eduyot-1-13 w46"
mishnah/mishnah-gittin,mishnah,75,5,0,0,3,0,2,MIXED_P3,"mishnah-gittin-3-2 w51"
mishnah/mishnah-maaser-sheni,mishnah,57,4,0,0,2,0,2,MIXED_P3,"mishnah-maaser-sheni-5-10 w13"
mishnah/mishnah-makkot,mishnah,34,24,0,3,21,0,0,P3,"mishnah-makkot-1-3 w18"
mishnah/mishnah-megillah,mishnah,33,29,0,0,28,0,1,P3,"mishnah-megillah-2-3 w36"
mishnah/mishnah-menachot,mishnah,93,18,0,1,16,0,1,P3,"mishnah-menachot-5-2 w14"
mishnah/mishnah-moed-katan,mishnah,24,3,0,1,2,0,0,P3,"mishnah-moed-katan-3-4 w28"
mishnah/mishnah-nedarim,mishnah,90,12,0,0,10,0,2,P3,"mishnah-nedarim-3-11 w70"
mishnah/mishnah-negaim,mishnah,115,10,0,0,6,0,4,MIXED_P3,"mishnah-negaim-2-3 w13"
mishnah/mishnah-sanhedrin,mishnah,71,59,0,9,45,0,5,P3,"mishnah-sanhedrin-1-4 w17"
mishnah/mishnah-shabbat,mishnah,139,13,0,1,12,0,0,P3,"mishnah-shabbat-6-4 w29"
mishnah/mishnah-shevuot,mishnah,62,5,0,0,4,0,1,P3,"mishnah-shevuot-1-3 w16"
mishnah/mishnah-sotah,mishnah,67,72,0,11,57,0,4,P3,"mishnah-sotah-1-6 w41"
mishnah/mishnah-temurah,mishnah,35,8,0,1,4,0,3,MIXED_P3,"mishnah-temurah-1-1 w100"
