rank,dialect_fingerprint,works,units,c0_rows,examples
38,"NAME-NAME-NAME-NAME-NAME-NAME | NAME-NAME-NAME-NAME-NAME-NAME-# | NAME-NAME-NAME-NAME-NAME-NAME-NAME | NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME | NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-# | NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME",1,68,344150,"tanakh/od-yosef-chai-derashot :: tanakh-od-yosef-chai-derashot--sefaria-od-yosef-chai-derashot-introduction"
39,"NAME-NAME-NAME-NAME | NAME-NAME-NAME-NAME-#-#",1,1903,917241,"tanakh/pardes-yosef :: tanakh-pardes-yosef--sefaria-pardes-yosef-introduction"
40,"NAME-NAME-NAME-NAME-NAME-NAME-# | NAME-NAME-NAME-NAME-NAME-NAME-NAME-# | NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME",1,400,98805,"halakhah/od-yosef-chai-halakhot :: halakhah-od-yosef-chai-halakhot--sefaria-od-yosef-chai-halakhot-bereshit-1"
41,"NAME-NAME-NAME-NAME-# | NAME-NAME-NAME-NAME-NAME-# | NAME-NAME-NAME-NAME-NAME-NAME",1,360,458683,"responsa/sheilat-yaavetz :: responsa-sheilat-yaavetz--sefaria-sheilat-yaavetz-introduction-1"
42,"NAME-NAME-NAME-NAME-NAME | NAME-NAME-NAME-NAME-NAME-NAME-# | NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME",1,156,235119,"responsa/teshuvot-meshiv-davar :: responsa-teshuvot-meshiv-davar--sefaria-teshuvot-meshiv-davar-introduction"
43,"NAME-NAME-NAME-NAME | NAME-NAME-NAME-NAME-NAME | NAME-NAME-NAME-NAME-NAME-#",1,1089,69397,"jewish-thought/matteh-dan :: jewish-thought-matteh-dan--sefaria-matteh-dan-title-page"
44,"NAME-NAME-NAME-NAME-NAME-NAME-#-NAME-NAME-#-NAME-NAME-#",1,21,2192,"modern-thought/lo-ze-haderekh/article-02 :: modern-thought-lo-ze-haderekh-article-02--pby-7415--unit-00001"
45,"NAME-NAME-NAME-NAME-#-NAME-NAME-#-NAME-NAME-#",1,31,173,"pby/moshe-ibn-ezra/שוררו-ילדי-אמוני-1264 :: pby-moshe-ibn-ezra-1264--pby-1264--unit-00001"
46,"NAME-NAME-NAME-NAME-NAME-NAME-# | NAME-NAME-NAME-NAME-NAME-NAME-NAME-# | NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME | NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-#",1,52,14274,"chasidut/bnei-machshava-tova :: chasidut-bnei-machshava-tova--sefaria-bnei-machshava-tova-the-association-s-goals"
47,"NAME-NAME-NAME-NAME | NAME-NAME-NAME-NAME-NAME-NAME-NAME | NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME | NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME | NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME | NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME",1,19,106144,"halakhah/torat-haadam :: halakhah-torat-haadam--sefaria-torat-haadam-introduction"
48,"NAME-NAME-NAME-NAME | NAME-NAME-NAME-NAME-# | NAME-NAME-NAME-NAME-NAME-#-NAME | NAME-NAME-NAME-NAME-NAME-#-NAME-NAME | NAME-NAME-NAME-NAME-NAME-#-NAME-NAME-NAME | NAME-NAME-NAME-NAME-NAME-#-NAME-NAME-NAME-NAME | NAME-NAME-NAME-NAME-NAME-#-NAME-NAME-NAME-NAME-NAME",1,93,57820,"chasidut/esh-kodesh :: chasidut-esh-kodesh--sefaria-esh-kodesh-preface-1"
49,"NAME-NAME-NAME-NAME-NAME-NAME | NAME-NAME-NAME-NAME-NAME-NAME-NAME | NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME | NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME | NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME | NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME | NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME | NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME | NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME | NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME-NAME",1,67,99913,"liturgy/machzor-yom-kippur-sefard :: liturgy-machzor-yom-kippur-sefard--sefaria-machzor-yom-kippur-sefard-kapparot"
50,"NAME-NAME-NAME-NAME | NAME-NAME-NAME-NAME-NAME",1,18,131399,"chasidut/ketonet-pasim :: chasidut-ketonet-pasim--sefaria-ketonet-pasim-vayikra"
51,"NAME-NAME-NAME-NAME-NAME",1,1,9636,"jewish-thought/ma-amar-al-yishmael :: jewish-thought-ma-amar-al-yishmael--sefaria-ma-amar-al-yishmael"
