"book","ref","token_id","token_index","hebrew_token","normalized","approved_definition","definition_status","definition_gate","override_status","override_reason","definition_id","display_allowed","export_allowed","export_status"
"Exodus","Exodus 1:1","exodus-001-001","1","ואלה","ואלה","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Exodus","Exodus 1:1","exodus-001-002","2","שמות","שמות","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Exodus","Exodus 1:1","exodus-001-003","3","בני","בני","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Exodus","Exodus 1:1","exodus-001-004","4","ישראל","ישראל","","approved_display","owner_poc_display_gate","none","","DEF-POC-ISRAEL-EXODUS-001","true","false","not_approved"
"Exodus","Exodus 1:1","exodus-001-005","5","הבאים","הבאים","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Exodus","Exodus 1:1","exodus-001-006","6","מצרימה","מצרימה","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Exodus","Exodus 1:1","exodus-001-007","7","את","את","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Exodus","Exodus 1:1","exodus-001-008","8","יעקב","יעקב","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Exodus","Exodus 1:1","exodus-001-009","9","איש","איש","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Exodus","Exodus 1:1","exodus-001-010","10","וביתו","וביתו","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Exodus","Exodus 1:1","exodus-001-011","11","באו","באו","","no","not_in_definition_ledger","none","","","false","false","not_approved"
