"book","ref","token_id","token_index","hebrew_token","normalized","approved_definition","definition_status","definition_gate","override_status","override_reason","definition_id","display_allowed","export_allowed","export_status"
"Deuteronomy","Deuteronomy 1:1","deuteronomy-001-001","1","אלה","אלה","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Deuteronomy","Deuteronomy 1:1","deuteronomy-001-002","2","הדברים","הדברים","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Deuteronomy","Deuteronomy 1:1","deuteronomy-001-003","3","אשר","אשר","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Deuteronomy","Deuteronomy 1:1","deuteronomy-001-004","4","דבר","דבר","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Deuteronomy","Deuteronomy 1:1","deuteronomy-001-005","5","משה","משה","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Deuteronomy","Deuteronomy 1:1","deuteronomy-001-006","6","אל","אל","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Deuteronomy","Deuteronomy 1:1","deuteronomy-001-007","7","כל","כל","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Deuteronomy","Deuteronomy 1:1","deuteronomy-001-008","8","ישראל","ישראל","","disabled","disabled_owner_control","owner_disabled_single_case","owner_removed_bad_definition_single_case","DEF-POC-ISRAEL-DEUT-001","false","false","not_approved"
"Deuteronomy","Deuteronomy 1:1","deuteronomy-001-009","9","בעבר","בעבר","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Deuteronomy","Deuteronomy 1:1","deuteronomy-001-010","10","הירדן","הירדן","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Deuteronomy","Deuteronomy 1:1","deuteronomy-001-011","11","במדבר","במדבר","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Deuteronomy","Deuteronomy 1:1","deuteronomy-001-012","12","בערבה","בערבה","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Deuteronomy","Deuteronomy 1:1","deuteronomy-001-013","13","מול","מול","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Deuteronomy","Deuteronomy 1:1","deuteronomy-001-014","14","סוף","סוף","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Deuteronomy","Deuteronomy 1:1","deuteronomy-001-015","15","בין","בין","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Deuteronomy","Deuteronomy 1:1","deuteronomy-001-016","16","פארן","פארן","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Deuteronomy","Deuteronomy 1:1","deuteronomy-001-017","17","ובין","ובין","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Deuteronomy","Deuteronomy 1:1","deuteronomy-001-018","18","תפל","תפל","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Deuteronomy","Deuteronomy 1:1","deuteronomy-001-019","19","ולבן","ולבן","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Deuteronomy","Deuteronomy 1:1","deuteronomy-001-020","20","וחצרת","וחצרת","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Deuteronomy","Deuteronomy 1:1","deuteronomy-001-021","21","ודי","ודי","","no","not_in_definition_ledger","none","","","false","false","not_approved"
"Deuteronomy","Deuteronomy 1:1","deuteronomy-001-022","22","זהב","זהב","","no","not_in_definition_ledger","none","","","false","false","not_approved"
