work_id,credit_line,source_url,license_link
chasidut/toldot-yaakov-yosef,"Provider metadata: Sefaria | Version witness: ESC006-V-F5DB0233B6BD72F15C9D43FF | Document OID: 609119607f9ca843f612f280 | Title: Toldot Yaakov Yosef | Version: Eichen edition. Jerusalem, 2011 | Source: https://www.nli.org.il/he/books/NNL_ALEPH003027478/NLI | License: CC-BY-NC",https://www.sefaria.org/Toldot_Yaakov_Yosef,
chasidut/torah-ohr,Provider metadata: Sefaria | Version witness: ESC006-V-A2E5D9196E5825849A8D4F71 | Document OID: 6395ab47ed88ce54f8002a52 | Title: Torah Ohr | Version: Kehot Publication Society | Source: http://kehot.com | License: CC-BY-NC,https://www.sefaria.org/api/texts/Torah%20Ohr%2C%20Bereshit%201%3A1?context=0&commentary=0,
chasidut/tzavaat-harivash,"Source: tzavaat harivash | Version: The Way of The Baal Shem Tov. Adapted into English by Rabbi Amiram Markel and Yehudah Shimon Markel, 2020 | URL: https://www.sefaria.org/Tzava'at_HaRivash | License: CC-BY",https://www.sefaria.org/Tzava'at_HaRivash,
chasidut/tzofnat-paneach,"Provider metadata: Sefaria | Version witness: ESC006-V-355ADE07BDAE7909F13DFC96 | Document OID: 60b36b137000bd6ac0d4d0d9 | Title: Tzofnat Paneach | Version: Eichen edition. Jerusalem, 2011 | Source: https://www.nli.org.il/he/books/NNL_ALEPH003027499/NLI | License: CC-BY-NC",https://www.sefaria.org/api/texts/Tzofnat%20Paneach%2C%20Shemot%201%3A1?context=0&commentary=0,
geonim/rav-hai-gaon-kohelet-moshe-b,Source: Rav Hai Gaon - Kohelet Moshe B | Version: he.wikisource MediaWiki current revision content | URL: https://he.wikisource.org/wiki/%D7%A7%D7%94%D7%9C%D7%AA_%D7%9E%D7%A9%D7%94_%D7%91 | License: CC-BY-SA 4.0,https://he.wikisource.org/wiki/%D7%A7%D7%94%D7%9C%D7%AA_%D7%9E%D7%A9%D7%94_%D7%91,https://creativecommons.org/licenses/by-sa/4.0/
gra/kol-hator,Provider metadata: Sefaria | Version witness: ESC006-V-68C1E93A821AED849873BEF6 | Document OID: 59a44cf0d6e4a938b1b74a29 | Title: Kol HaTor | Version: Kol HaTor | Source: https://he.wikisource.org/wiki/%D7%A7%D7%95%D7%9C_%D7%94%D7%AA%D7%95%D7%A8_%D7%91_%D7%90 | License: CC-BY-SA,https://www.sefaria.org/Kol_HaTor,
gra/maaseh-rav,Provider metadata: Sefaria | Version witness: ESC006-V-5C49AEFD8C30BEB42A9994A5 | Document OID: 52d6c622adefb197f0d02757 | Title: Maaseh Rav | Version: Wikisource | Source: http://he.wikisource.org/wiki/%D7%9E%D7%A2%D7%A9%D7%94_%D7%A8%D7%91_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%91%D7%A8%D7%9B%D7%95%D7%AA_%D7%94%D7%A9%D7%97%D7%A8 | License: CC-BY-SA,https://www.sefaria.org/Maaseh_Rav,
grammar/machberet-menachem,Source: Machberet Menachem | Version: he.wikisource MediaWiki current revision content | URL: https://he.wikisource.org/wiki/%D7%9E%D7%97%D7%91%D7%A8%D7%AA_%D7%9E%D7%A0%D7%97%D7%9D | License: Wikisource SOURCE-DEFAULT CC-BY-SA 4.0,https://he.wikisource.org/wiki/%D7%9E%D7%97%D7%91%D7%A8%D7%AA_%D7%9E%D7%A0%D7%97%D7%9D,https://creativecommons.org/licenses/by-sa/4.0/
halakhah/ben-ish-chai,Source: Ben Ish Chai selected core | Version: he.wikisource MediaWiki current revision content | URL: https://he.wikisource.org/wiki/%D7%91%D7%9F_%D7%90%D7%99%D7%A9_%D7%97%D7%99 | License: Wikisource SOURCE-DEFAULT CC-BY-SA 4.0,https://he.wikisource.org/wiki/%D7%91%D7%9F_%D7%90%D7%99%D7%A9_%D7%97%D7%99,https://creativecommons.org/licenses/by-sa/4.0/
halakhah/ein-hatekhelet,Source: Ein HaTekhelet | Version: Hebrew Wikisource exact source index page | URL: https://he.wikisource.org/wiki/%D7%A2%D7%99%D7%9F_%D7%94%D7%AA%D7%9B%D7%9C%D7%AA | License: CC-BY-SA via Hebrew Wikisource exact source page,https://he.wikisource.org/wiki/%D7%A2%D7%99%D7%9F_%D7%94%D7%AA%D7%9B%D7%9C%D7%AA,https://creativecommons.org/licenses/by-sa/4.0/
halakhah/hahalakhah-kochah-vetafkidah,"Provider metadata: Sefaria | Version witness: ESC006-V-FED0077A0910FB81522015FD | Document OID: 665851a4a42b042ab06c1dbf | Title: HaHalakhah; Kochah VeTafkidah | Version: Mossad Harav kook; Jerusalem, 2006 | Source: https://www.nli.org.il/he/books/NNL_ALEPH990025710960205171/NLI | License: CC-BY-NC",https://www.sefaria.org/api/texts/HaHalakhah%3B%20Kochah%20VeTafkidah%2C%20Introductory%20Remarks%201?context=0&commentary=0,
halakhah/ptil-tekhelet,Source: Ptil Tekhelet | Version: Hebrew Wikisource exact source page | URL: https://he.wikisource.org/wiki/%D7%A4%D7%AA%D7%99%D7%9C_%D7%AA%D7%9B%D7%9C%D7%AA | License: CC-BY-SA via Hebrew Wikisource exact source page,https://he.wikisource.org/wiki/%D7%A4%D7%AA%D7%99%D7%9C_%D7%AA%D7%9B%D7%9C%D7%AA,https://creativecommons.org/licenses/by-sa/4.0/
halakhah/sefer-hachinukh,Source: Sefer HaChinukh | Version: Hebrew Wikisource Frankfurt-print-order source page | URL: https://he.wikisource.org/wiki/%D7%A1%D7%A4%D7%A8_%D7%94%D7%97%D7%99%D7%A0%D7%95%D7%9A_%28%D7%A1%D7%93%D7%A8_%D7%93%D7%A4%D7%95%D7%A1_%D7%A4%D7%A8%D7%A0%D7%A7%D7%A4%D7%95%D7%A8%D7%98%29 | License: CC-BY-SA via Hebrew Wikisource exact source page,https://he.wikisource.org/wiki/%D7%A1%D7%A4%D7%A8_%D7%94%D7%97%D7%99%D7%A0%D7%95%D7%9A_%28%D7%A1%D7%93%D7%A8_%D7%93%D7%A4%D7%95%D7%A1_%D7%A4%D7%A8%D7%A0%D7%A7%D7%A4%D7%95%D7%A8%D7%98%29,https://creativecommons.org/licenses/by-sa/4.0/
halakhah/sefer-puah,"Provider metadata: Sefaria | Version witness: ESC006-V-96225169AD0857CA5DE15A0A | Document OID: 69bbe0162dafb275ff3e36d3 | Title: Sefer Puah | Version: Jerusalem, 2014-2024 | Source: https://www.nli.org.il/he/books/NNL_ALEPH990037258650205171/NLI | License: CC-BY-NC",https://www.sefaria.org/api/texts/Sefer%20Puah%2C%20First%20Volume%3B%20Family%20and%20Purity%2C%20Introduction%201?context=0&commentary=0,
halakhah/shabbat-haaretz,"Provider metadata: Sefaria | Version witness: ESC006-V-3078EB14AC90532ABB9B146C | Document OID: 60c5b29f705ff9a86004dd6f | Title: Shabbat HaAretz | Version: Rav Kook’s Introduction to Shabbat Ha’aretz, Hazon, NY 2014 | Source: https://www.nli.org.il/he/books/NNL_ALEPH003779208/NLI | License: CC-BY-NC",https://www.nli.org.il/he/books/NNL_ALEPH003779208/NLI,
halakhah/shulchan-arukh-introduction,"Source: Shulchan Arukh, Introduction | Version: Venice, 1565 | URL: https://he.wikisource.org/wiki/%D7%A9%D7%95%D7%9C%D7%97%D7%9F_%D7%A2%D7%A8%D7%95%D7%9A/%D7%94%D7%A7%D7%93%D7%9E%D7%94 | License: CC-BY-SA via Hebrew Wikisource footer signal",https://he.wikisource.org/wiki/%D7%A9%D7%95%D7%9C%D7%97%D7%9F_%D7%A2%D7%A8%D7%95%D7%9A/%D7%94%D7%A7%D7%93%D7%9E%D7%94,https://creativecommons.org/licenses/by-sa/4.0/
halakhah/torat-haadam,Source: Torat HaAdam | Version: Hebrew Wikisource exact source index page | URL: https://he.wikisource.org/wiki/%D7%AA%D7%95%D7%A8%D7%AA_%D7%94%D7%90%D7%93%D7%9D | License: CC-BY-SA via Hebrew Wikisource exact source page,https://he.wikisource.org/wiki/%D7%AA%D7%95%D7%A8%D7%AA_%D7%94%D7%90%D7%93%D7%9D,https://creativecommons.org/licenses/by-sa/4.0/
halakhah/treasures-hidden-in-the-sand,"Source: Treasures Hidden in the Sand | Version: Sefaria selected Hebrew version API: Sefunei Tmunei Chol, B'nei Brak, 1999 | URL: https://www.nli.org.il/he/books/NNL_ALEPH001807292 | License: CC-BY",https://www.nli.org.il/he/books/NNL_ALEPH001807292,
