"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"kiryat-sefer-on-mishneh-torah-scroll-of-esther-and-hanukkah","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah","tok-2f6bca84db7f","ויגדך","ויגדכ","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:1; Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 3:1:1"
"kiryat-sefer-on-mishneh-torah-scroll-of-esther-and-hanukkah","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah","tok-ad7d9663b6e6","ומאוחר","ומאוחר","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:1; Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 3:1:1"
"kiryat-sefer-on-mishneh-torah-scroll-of-esther-and-hanukkah","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah","tok-05c326eb41d6","ונרות","ונרות","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:1; Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 3:1:1"
"kiryat-sefer-on-mishneh-torah-scroll-of-esther-and-hanukkah","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah","tok-f1e743cb4636","חייבים","חייבימ","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:1; Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 3:1:1"
"kiryat-sefer-on-mishneh-torah-scroll-of-esther-and-hanukkah","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah","tok-9d9b2a61cc10","חנוכה","חנוכה","Unresolved","","No lexical entry yet","true","4","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:1; Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 3:1:1"
"kiryat-sefer-on-mishneh-torah-scroll-of-esther-and-hanukkah","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah","tok-61c53c806cf0","חנוכת","חנוכת","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:1; Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 3:1:1"
"kiryat-sefer-on-mishneh-torah-scroll-of-esther-and-hanukkah","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah","tok-cf85824e7c45","חשמונאי","חשמונאי","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:1; Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 3:1:1"
"kiryat-sefer-on-mishneh-torah-scroll-of-esther-and-hanukkah","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah","tok-dc49fe768599","יגידו","יגידו","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:1; Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 3:1:1"
"kiryat-sefer-on-mishneh-torah-scroll-of-esther-and-hanukkah","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah","tok-19310fc553b7","יתבין","יתבינ","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:1; Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 3:1:1"
"kiryat-sefer-on-mishneh-torah-scroll-of-esther-and-hanukkah","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah","tok-0fa2abf36c03","כתוב","כתוב","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:1; Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 3:1:1"
"kiryat-sefer-on-mishneh-torah-scroll-of-esther-and-hanukkah","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah","tok-ea0a784665b8","לקיימם","לקייממ","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:1; Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 3:1:1"
"kiryat-sefer-on-mishneh-torah-scroll-of-esther-and-hanukkah","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah","tok-047631cc8c7b","מדכתיב","מדכתיב","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:1; Kiryat Sefer on Mishneh Torah, Scroll of Esther and Hanukkah 3:1:1"
