"work_id","work_title","source_ref","anchor_id","translation","translator_notes","status"
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Introduction:1","shaar-hakavanot-introduction-introduction-1","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Introduction:2","shaar-hakavanot-introduction-introduction-2","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Introduction:3","shaar-hakavanot-introduction-introduction-3","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Introduction:4","shaar-hakavanot-introduction-introduction-4","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Introduction:5","shaar-hakavanot-introduction-introduction-5","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Introduction:6","shaar-hakavanot-introduction-introduction-6","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Introduction:7","shaar-hakavanot-introduction-introduction-7","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Introduction:8","shaar-hakavanot-introduction-introduction-8","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Introduction:9","shaar-hakavanot-introduction-introduction-9","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Introduction:10","shaar-hakavanot-introduction-introduction-10","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Introduction:11","shaar-hakavanot-introduction-introduction-11","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Introduction:12","shaar-hakavanot-introduction-introduction-12","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Introduction:13","shaar-hakavanot-introduction-introduction-13","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Introduction:14","shaar-hakavanot-introduction-introduction-14","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Introduction:15","shaar-hakavanot-introduction-introduction-15","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on the Intentions of Blessings:1","shaar-hakavanot-sermons-on-the-intentions-of-blessings-sermons-on-the-intentions-of-blessings-1","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on the Intentions of Blessings:2","shaar-hakavanot-sermons-on-the-intentions-of-blessings-sermons-on-the-intentions-of-blessings-2","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on the Intentions of Blessings:3","shaar-hakavanot-sermons-on-the-intentions-of-blessings-sermons-on-the-intentions-of-blessings-3","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on the Intentions of Blessings:4","shaar-hakavanot-sermons-on-the-intentions-of-blessings-sermons-on-the-intentions-of-blessings-4","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on the Intentions of Blessings:5","shaar-hakavanot-sermons-on-the-intentions-of-blessings-sermons-on-the-intentions-of-blessings-5","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on the Intentions of Blessings:6","shaar-hakavanot-sermons-on-the-intentions-of-blessings-sermons-on-the-intentions-of-blessings-6","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on the Intentions of Blessings:7","shaar-hakavanot-sermons-on-the-intentions-of-blessings-sermons-on-the-intentions-of-blessings-7","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on the Intentions of Blessings:8","shaar-hakavanot-sermons-on-the-intentions-of-blessings-sermons-on-the-intentions-of-blessings-8","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on the Intentions of Blessings:9","shaar-hakavanot-sermons-on-the-intentions-of-blessings-sermons-on-the-intentions-of-blessings-9","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on the Intentions of Blessings:10","shaar-hakavanot-sermons-on-the-intentions-of-blessings-sermons-on-the-intentions-of-blessings-10","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on the Intentions of Blessings:11","shaar-hakavanot-sermons-on-the-intentions-of-blessings-sermons-on-the-intentions-of-blessings-11","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on the Intentions of Blessings:12","shaar-hakavanot-sermons-on-the-intentions-of-blessings-sermons-on-the-intentions-of-blessings-12","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on the Intentions of Blessings:13","shaar-hakavanot-sermons-on-the-intentions-of-blessings-sermons-on-the-intentions-of-blessings-13","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on the Intentions of Blessings:14","shaar-hakavanot-sermons-on-the-intentions-of-blessings-sermons-on-the-intentions-of-blessings-14","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on the Intentions of Blessings:15","shaar-hakavanot-sermons-on-the-intentions-of-blessings-sermons-on-the-intentions-of-blessings-15","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on the Intentions of Blessings:16","shaar-hakavanot-sermons-on-the-intentions-of-blessings-sermons-on-the-intentions-of-blessings-16","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on the Intentions of Blessings:17","shaar-hakavanot-sermons-on-the-intentions-of-blessings-sermons-on-the-intentions-of-blessings-17","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on the Intentions of Blessings:18","shaar-hakavanot-sermons-on-the-intentions-of-blessings-sermons-on-the-intentions-of-blessings-18","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on Morning Blessings:1","shaar-hakavanot-sermons-on-morning-blessings-sermons-on-morning-blessings-1","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on Morning Blessings:2","shaar-hakavanot-sermons-on-morning-blessings-sermons-on-morning-blessings-2","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on Morning Blessings:3","shaar-hakavanot-sermons-on-morning-blessings-sermons-on-morning-blessings-3","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on Morning Blessings:4","shaar-hakavanot-sermons-on-morning-blessings-sermons-on-morning-blessings-4","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on Morning Blessings:5","shaar-hakavanot-sermons-on-morning-blessings-sermons-on-morning-blessings-5","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on Morning Blessings:6","shaar-hakavanot-sermons-on-morning-blessings-sermons-on-morning-blessings-6","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on Morning Blessings:7","shaar-hakavanot-sermons-on-morning-blessings-sermons-on-morning-blessings-7","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on Morning Blessings:8","shaar-hakavanot-sermons-on-morning-blessings-sermons-on-morning-blessings-8","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on Morning Blessings:9","shaar-hakavanot-sermons-on-morning-blessings-sermons-on-morning-blessings-9","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on Morning Blessings:10","shaar-hakavanot-sermons-on-morning-blessings-sermons-on-morning-blessings-10","","",""
"shaar-hakavanot","Sha'ar HaKavanot","Sha'ar HaKavanot, Sermons on Morning Blessings:11","shaar-hakavanot-sermons-on-morning-blessings-sermons-on-morning-blessings-11","","",""
