work_id,work_title,clicked_surface_form,normalized_form,hebrew_lemma_or_form,transliteration,status,confidence,confidence_note,strict_renderings,breakdown,source_name,source_id,source_url,license,license_url,attribution_requirements,occurrence_count,ref_examples,notes,not_a_translation
,,,,תְּרוּמָה,,Strict Hebrew,95,"95% deterministic export assurance from HUD status, match method, source layer, context role, and homograph/noise guards.",a present (as offered up ) | especially in sacrifice | as tribute | gift | heave offering (shoulder) | oblation | offered(-ing).,,OpenScriptures HebrewLexicon,H8641,https://github.com/openscriptures/HebrewLexicon/blob/master/HebrewStrong.xml,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Attribution required; retain source name, source id, source URL, and license.",,,Definitions/renderings come from HebrewStrong.xml; roots are left blank unless independently available.,true
,,,,נֶפֶשׁ,,Strict Hebrew,95,"95% deterministic export assurance from HUD status, match method, source layer, context role, and homograph/noise guards.",properly | a breathing creature | i.e. animal of (abstractly) vitality | used very widely in a literal | accommodated | figurative sense (bodily | mental) | any,,OpenScriptures morphHB,H5315,https://github.com/openscriptures/morphhb/tree/master/wlc,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Attribution required; retain source name, source id, source URL, and license.",,,Used only where an Orot token matched a normalized WLC surface form.,true
,,,,חדר,,Potential,63,"63% deterministic export assurance from HUD status, match method, source layer, context role, and homograph/noise guards.","room, distinguishable space within a building or other structure | room | cheder",,Wikidata Lexeme,L65146,https://www.wikidata.org/wiki/Lexeme:L65146,CC0,https://www.wikidata.org/wiki/Wikidata:Licensing,No attribution required by license; source retained for provenance.,,,other possible entry Matched Orot token by normalized Hebrew lemma/form. Wikidata Lexeme data is CC0.,true
,,,,נֶטַע,,Potential,65,"65% deterministic export assurance from HUD status, match method, source layer, context role, and homograph/noise guards.",a plant | collectively | a plantation | abstractly | a planting | plant.,,OpenScriptures HebrewLexicon,H5194,https://github.com/openscriptures/HebrewLexicon/blob/master/HebrewStrong.xml,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Attribution required; retain source name, source id, source URL, and license.",,,other possible entry Definitions/renderings come from HebrewStrong.xml; roots are left blank unless independently available.,true
,,,,טָהוֹר,,Strict Hebrew,95,"95% deterministic export assurance from HUD status, match method, source layer, context role, and homograph/noise guards.",pure (in a physical | chemical | ceremonial | moral sense) | clean | fair | pure(-ness).,,OpenScriptures morphHB,H2889,https://github.com/openscriptures/morphhb/tree/master/wlc,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Attribution required; retain source name, source id, source URL, and license.",,,Used only where an Orot token matched a normalized WLC surface form.,true
,,,,לאומיות,,Potential,63,"63% deterministic export assurance from HUD status, match method, source layer, context role, and homograph/noise guards.","nationalism, ideology and movement that promotes the interests of a particular nation (as in a group of people) especially with the aim of gaining and maintaining the nation's sovereignty (self-governance) over its homeland | nationalism",,Wikidata Lexeme,L65882,https://www.wikidata.org/wiki/Lexeme:L65882,CC0,https://www.wikidata.org/wiki/Wikidata:Licensing,No attribution required by license; source retained for provenance.,,,other possible entry Matched Orot token by normalized Hebrew lemma/form. Wikidata Lexeme data is CC0.,true
,,,,אלה,,Potential,63,"63% deterministic export assurance from HUD status, match method, source layer, context role, and homograph/noise guards.",club,,Wikidata Lexeme,L63940,https://www.wikidata.org/wiki/Lexeme:L63940,CC0,https://www.wikidata.org/wiki/Wikidata:Licensing,No attribution required by license; source retained for provenance.,,,other possible entry Matched Orot token by normalized Hebrew lemma/form. Wikidata Lexeme data is CC0.,true
,,,,שַׂלְמָה,,Potential,65,"65% deterministic export assurance from HUD status, match method, source layer, context role, and homograph/noise guards.",Salmah | an Israelite | Salmon. Compare 8012 .,,OpenScriptures HebrewLexicon,H8009,https://github.com/openscriptures/HebrewLexicon/blob/master/HebrewStrong.xml,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Attribution required; retain source name, source id, source URL, and license.",,,other possible entry Definitions/renderings come from HebrewStrong.xml; roots are left blank unless independently available.,true
,,,,שיתוף,,Strict Hebrew,93,"93% deterministic export assurance from HUD status, match method, source layer, context role, and homograph/noise guards.",cooperation,,Wikidata Lexeme,L219612,https://www.wikidata.org/wiki/Lexeme:L219612,CC0,https://www.wikidata.org/wiki/Wikidata:Licensing,No attribution required by license; source retained for provenance.,,,Matched Orot token by normalized Hebrew lemma/form. Wikidata Lexeme data is CC0.,true
,,,,קיבוץ,,Potential,63,"63% deterministic export assurance from HUD status, match method, source layer, context role, and homograph/noise guards.",kibbutz,,Wikidata Lexeme,L67854,https://www.wikidata.org/wiki/Lexeme:L67854,CC0,https://www.wikidata.org/wiki/Wikidata:Licensing,No attribution required by license; source retained for provenance.,,,other possible entry Matched Orot token by normalized Hebrew lemma/form. Wikidata Lexeme data is CC0.,true
