work_id,chunks,candidate_claim_links,unique_claims
midrash-lekach-tov-on-ruth,1,1206,828
midrash-lekach-tov-on-song-of-songs,1,1430,1023
midrash-pinchas,9,7845,3445
midrash-sekhel-tov,39,17509,5951
midrash-shmuel,8,6756,3402
midrash-shmuel-on-avot,29,17667,5677
midrash-tanchuma,38,28809,5887
midrash-tanchuma-buber,27,15525,5581
midrash-tannaim-on-deuteronomy,3,3529,1964
midrash-tehillim,21,13676,5255
midrash-yelamdenu-selections-from-yalkut-talmud-torah,1,823,605
mikdash-melekh-on-zohar,43,18714,5779
minchat-kenaot,24,15314,5502
mishnah-arakhin,2,1405,964
mishnah-avodah-zarah,2,1151,760
mishnah-bava-batra,2,1835,1143
mishnah-bava-kamma,2,1838,1134
mishnah-bava-metzia,2,2164,1303
mishnah-beitzah,1,932,642
mishnah-bekhorot,2,1640,1006
mishnah-berakhot,1,1416,943
mishnah-bikkurim,1,843,640
mishnah-chagigah,1,653,495
mishnah-challah,1,733,572
mishnah-chullin,2,1814,1089
mishnah-demai,1,879,617
mishnah-eduyot,2,1908,1162
mishnah-eruvin,2,1737,1079
mishnah-gittin,2,1516,886
mishnah-horayot,1,602,463
mishnah-kelim,4,2651,1453
mishnah-keritot,1,1137,755
mishnah-ketubot,2,1841,1065
mishnah-kiddushin,1,1203,809
mishnah-kilayim,2,1121,757
mishnah-kinnim,1,546,413
mishnah-maaser-sheni,1,1173,815
mishnah-maasrot,1,769,563
mishnah-makhshirin,1,992,687
mishnah-makkot,1,1307,830
mishnah-megillah,1,982,695
mishnah-meilah,1,858,604
mishnah-menachot,2,2026,1155
mishnah-middot,1,1291,844
mishnah-mikvaot,2,1489,951
mishnah-moed-katan,1,558,461
mishnah-nazir,2,1349,838
mishnah-nedarim,2,1853,1108
mishnah-negaim,2,1977,1115
mishnah-niddah,2,1500,984
mishnah-oholot,2,2008,1193
mishnah-orlah,1,591,458
mishnah-parah,2,1803,1046
mishnah-peah,2,1286,893
mishnah-pesachim,2,2023,1189
mishnah-rosh-hashanah,1,1232,854
mishnah-sanhedrin,2,2661,1412
mishnah-shabbat,3,2357,1401
mishnah-shekalim,2,1412,937
mishnah-sheviit,2,1481,1009
mishnah-shevuot,2,1209,849
mishnah-sotah,2,2580,1515
mishnah-sukkah,2,1337,936
mishnah-taanit,1,1293,883
mishnah-tahorot,2,1413,866
mishnah-tamid,2,1355,874
mishnah-temurah,1,918,669
mishnah-terumot,2,1437,892
mishnah-tevul-yom,1,550,452
mishnah-yadayim,1,1029,744
mishnah-yevamot,2,2008,1107
mishnah-yoma,2,1960,1162
mishnah-zavim,1,809,585
mishnah-zevachim,2,2016,1134
mishnat-derabbi-eliezer-on-eichah-rabbah,1,542,477
mishnat-derabbi-eliezer-on-ruth-rabbah,1,41,41
mishnat-rabbi-eliezer,13,10743,4443
mitpachat-sefarim,4,3697,2184
mivchar-hapeninim,4,4174,2152
moreh-nevukhei-hazeman,36,21914,6166
musar-avikha,1,976,660
naftali-seva-ratzon-on-pesach-haggadah,7,5596,2710
nahum,1,591,515
narboni-on-guide-for-the-perplexed,15,11609,4176
nefesh-hachayim,5,4781,2478
nehemiah,4,3743,1415
nineteen-letters,8,9203,3971
nishmat-chayyim,28,16401,5529
noam-elimelekh,25,16642,5111
notes-and-corrections-on-midrash-aggadah,13,9299,4060
notes-and-corrections-on-midrash-lekach-tov,20,12134,4881
notes-and-corrections-on-midrash-lekach-tov-on-esther,2,1475,1041
numbers,9,8088,2079
obadiah,1,230,208
ohev-yisrael,25,15666,5197
ohr-hachammah-on-zohar,103,28833,7089
ohr-hameir,30,18007,5725
ohr-hashem,8,7016,2967
orchot-chaim-lharosh,2,1957,1306
orchot-tzadikim,17,16447,4630
orot,18,27708,8480
orot-ha-kodesh,19,16854,5556
orot-ha-torah,1,1601,1047
otzar-midrashim,57,27598,6721
