scope,work_key,common_name_display,hebrew_name,attestation_kind,witness_ref,witness_sha256,category_path
"CENSUS","chasidut/bnei-yissaschar","Bnei Yissaschar","בני יששכר","PACKET_A_URL_PATH+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/accepted-3961-q40-selected-safe-whole-work-25-v1/pass/chasidut-bnei-yissaschar-999da3b850.json","cfdfa4faa97dd67ac8f3f2d7c7b4b5f48f7bb00feeabfa76e575a444a160849e","Chasidut/Other Chasidut Works"
"CENSUS","chasidut/chanah-ariel","Chanah Ariel","חנה אריאל","PACKET_B_SELECTED_TITLE_VERBATIM+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/sefaria-bson-surface-aware-exact-total-provenance/pass/chasidut-chanah-ariel-07b62be6c0.json","2e6ecc97b35e371eacb6107bbbc7577830cf3f17afecf0dba82830bf6a7ddebe","Chasidut/Other Chasidut Works"
"CENSUS","chasidut/chayei-moharan","Chayei Moharan 1","חיי מוהר""ן","PACKET_A_URL_PATH+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/sefaria-bson-surface-aware-unit-shape-schema-order-v1/pass/chasidut-chayei-moharan-ad43f4235b.json","5229bdc50096b0499c017dc44bfd3a3b2ca996839e733bd9b1fed279542fabb9","Chasidut/Breslov"
"CENSUS","chasidut/chayyim-vachesed","Chayyim VaChesed","חיים וחסד","PACKET_B_SELECTED_TITLE_VERBATIM+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/sefaria-bson-surface-aware-exact-total/pass/chasidut-chayyim-vachesed-8e17be198b.json","512601b1c912d749fbf81f5c77daec26f9336587e9ae18bed8842982e342725a","Chasidut/Other Chasidut Works"
"CENSUS","chasidut/chovat-hatalmidim","Chovat HaTalmidim 1","חובת התלמידים","PACKET_A_URL_PATH+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/sefaria-bson-surface-aware-unit-shape-schema-order-v1/pass/chasidut-chovat-hatalmidim-feebb6be85.json","6bc6de462c1d08f67aa616c18c634be0f8760f28b3cd789647350b2c431d945d","Musar"
"CENSUS","chasidut/darkhei-yesharim","Darkhei Yesharim","דרכי ישרים","PACKET_A_URL_PATH+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/legacy-ascii-geresh-repair-deeper-high-unlock-accepted-3925-four-materialized-v1/pass/chasidut-darkhei-yesharim-a9703f5402.json","944d6e3e05d2952633096cb575eb672118394be75fd565af68cfe9d9a40efbc2","Chasidut/Other Chasidut Works"
"CENSUS","chasidut/degel-machaneh-ephraim","Degel Machaneh Ephraim","דגל מחנה אפרים","PACKET_A_URL_PATH+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/accepted-3961-q40-selected-safe-whole-work-25-v1/pass/chasidut-degel-machaneh-ephraim-5531bb94db.json","0069a3db4084121f964cbf1e09b12ad8b2e0fc9f1d56827955d9003daa4356d5","Chasidut/Other Chasidut Works"
"CENSUS","chasidut/derekh-mitzvotekha","Derekh Mitzvotekha, The commandment of procreation 1","דרך מצותיך","PACKET_A_URL_PATH+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/sefaria-bson-unit-shape/pass/chasidut-derekh-mitzvotekha-f0702e3274.json","99e7f2ace95301b33174d1678d0ad9e32fed5220a4cf36071817d6f838f995fe","Chasidut/Chabad"
"CENSUS","chasidut/divrei-chalomot","Divrei Chalomot","דברי חלומות","PACKET_A_URL_PATH+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/accepted-3961-q40-targeted-glyph-donor-130-v1/pass/chasidut-divrei-chalomot-8237481701.json","6040b420a13c8d423ce1f00d3d5b6a3294275084d062fba8bf4832e7caa41d64","Chasidut/R' Tzadok HaKohen"
"CENSUS","chasidut/divrei-emet","Divrei Emet","דברי אמת","PACKET_A_URL_PATH+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/legacy-ascii-geresh-repair-deep-high-unlock-accepted-3892-schema-position-valid-v1/pass/chasidut-divrei-emet-eda22c17ee.json","dff19c31a0bd2166b7782d854650cea8364947b1e0a3619c414a82bcd5626ece","Chasidut/Other Chasidut Works"
"CENSUS","chasidut/divrei-soferim","Divrei Soferim","דברי סופרים","PACKET_A_URL_PATH+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/legacy-u2019-geresh-source-glyph-repair-accepted-3958-divrei-soferim-exact-work-v1/pass/chasidut-divrei-soferim-d9149cce85.json","2c443f5845f8f46ee11d4db9489266e64a10fe1d71281ed25d7db68bd88a8e24","Chasidut/R' Tzadok HaKohen"
"CENSUS","chasidut/dover-tzedek","Dover Tzedek","דובר צדק","PACKET_A_URL_PATH+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/accepted-3961-q40-selected-safe-whole-work-25-v1/pass/chasidut-dover-tzedek-3098b9452b.json","7c946890bbe6a17b162f1131fd7377f82dada46d9bb8a0dda7e4b068a53f5fe4","Chasidut/R' Tzadok HaKohen"
"CENSUS","chasidut/esh-kodesh","Esh Kodesh","אש קודש","PACKET_B_SELECTED_TITLE_VERBATIM+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/sefaria-bson-surface-aware-exact-total-provenance/pass/chasidut-esh-kodesh-becac4d95d.json","adc52ceb9e77917243a854492841a2705f102d3fe4ecbefaa543c6911066fe2f","Chasidut/Piaseczno Rebbe"
"CENSUS","chasidut/et-haochel","Et HaOchel","עת האוכל","PACKET_A_URL_PATH+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/legacy-ascii-geresh-repair-etz-yosef-vayikra-donor-et-haochel-all-position-valid-accepted-3884-v1/pass/chasidut-et-haochel-bc4daaa043.json","ce2fcd1a0311e5a4252cbad4ac050972ef2c190a8250079e9da696c2cb4d5e05","Chasidut/R' Tzadok HaKohen"
"CENSUS","chasidut/hakhsharat-haavrekhim","Hakhsharat HaAvrekhim 1","הכשרת האברכים","PACKET_A_URL_PATH+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/sefaria-bson-surface-aware-unit-shape-schema-order-v1/pass/chasidut-hakhsharat-haavrekhim-bc2c92be11.json","ea628cd3b42db06736975b4b6852a870038f36687d3622ea16f939dba3109ecd","Chasidut/Piaseczno Rebbe"
"CENSUS","chasidut/imrei-shefer","Imrei Shefer","אמרי שפר","PACKET_B_SELECTED_TITLE_VERBATIM+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/sefaria-bson-surface-aware-exact-total-provenance/pass/chasidut-imrei-shefer-2a0579e770.json","e37155e52eb8c503cea6875fbca0b26bcd15aa5b612287eb30a44ec218b31b53","Chasidut/Other Chasidut Works"
"CENSUS","chasidut/irin-kadishin","Irin Kadishin","עירין קדישין","PACKET_B_SELECTED_TITLE_VERBATIM+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/sefaria-bson-surface-aware-exact-total-provenance/pass/chasidut-irin-kadishin-4fab3fabcf.json","10c6e7761d4b516abb9da1e57a10bb6dd965e739f2acbd1867620344255b5da3","Chasidut/Other Chasidut Works"
"CENSUS","chasidut/irin-kadishin-tinyana","Irin Kadishin Tinyana","עירין קדישין תניינא","PACKET_B_SELECTED_TITLE_VERBATIM+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/sefaria-bson-surface-aware-exact-total-provenance/pass/chasidut-irin-kadishin-tinyana-580670587a.json","aad1870d713e5d1d16a10430c0833c1abc2ea2b5a1b5d647df292cdfefcd43de","Chasidut/Other Chasidut Works"
"CENSUS","chasidut/irin-kadishin-tlita-a","NLI","עירין קדישין תליתאה","PACKET_A_URL_PATH+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/sefaria-bson-surface-aware-unit-shape-schema-order-nli-v1/pass/chasidut-irin-kadishin-tlita-a-e305bdb94d.json","6db1805bd15c290bfeaf9203f2b2d8b9332d1bbdf6739abe6230190626a3503d","Chasidut/Other Chasidut Works"
"CENSUS","chasidut/keter-shem-tov","Keter Shem Tov","כתר שם טוב","PACKET_A_URL_PATH+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/accepted-3961-q40-targeted-glyph-donor-130-v1/pass/chasidut-keter-shem-tov-44f37f4883.json","1088634f1375d22cd237ce38c5b3b978c01ea16646b23e172d73ca89aad88d64","Chasidut/Other Chasidut Works"
"CENSUS","chasidut/ketonet-pasim","Ketonet Pasim","כתונת פסים","PACKET_B_SELECTED_TITLE_VERBATIM+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/sefaria-bson-surface-aware-exact-total-provenance/pass/chasidut-ketonet-pasim-9450a6a4a3.json","6f996f0d30cb6b47a99ee03868a47c16f23632caae0b2ae86e3c8b8d6f66346b","Chasidut/Early Works"
"CENSUS","chasidut/kometz-haminchah","Kometz HaMinchah","קומץ המנחה","PACKET_A_URL_PATH+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/sefaria-bson-surface-aware-unit-shape-kometz-haminchah-raw-html-tag-boundary-accepted-3857-v1/pass/chasidut-kometz-haminchah-643bee4728.json","6fdfcf336d7be84e2fa9c65be843e44e122bc1d385c3f45383e16009884e27de","Chasidut/R' Tzadok HaKohen"
"CENSUS","chasidut/kuntres-hahitpa-alut","Kuntres HaHitpa'alut","קונטרס ההתפעלות","PACKET_B_SELECTED_TITLE_VERBATIM+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/sefaria-bson-surface-aware-exact-total-provenance/pass/chasidut-kuntres-hahitpa-alut-a165004b74.json","87c30197f2225299a9bcaf935175f03bf6dc6e8595bd57113a0e695e884ba577","Chasidut/Chabad"
"CENSUS","chasidut/likkutei-maamarim","Likkutei Maamarim","ספר ליקוטי מאמרים","PACKET_A_URL_PATH+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/accepted-3961-q40-selected-safe-whole-work-25-v1/pass/chasidut-likkutei-maamarim-660d577bae.json","5a8001684cb7c27be20da3241b95df33fc724e51f11e65ddc8cdd751d6ec7250","Chasidut/R' Tzadok HaKohen"
"CENSUS","chasidut/machshavot-charutz","Machshavot Charutz","מחשבות חרוץ","PACKET_A_URL_PATH+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/accepted-3961-q40-selected-safe-whole-work-25-v1/pass/chasidut-machshavot-charutz-7391c43245.json","c4362fdf582583f2f2fdb115772c559403e0ae1ac079bdc104bdc56141f4f493","Chasidut/R' Tzadok HaKohen"
"CENSUS","chasidut/maggid-devarav-leyaakov","Maggid Devarav leYaakov","מגיד דבריו ליעקב","PACKET_A_URL_PATH+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/legacy-ascii-geresh-repair-deep-high-unlock-accepted-3892-schema-position-valid-v1/pass/chasidut-maggid-devarav-leyaakov-ebe57c0c95.json","4f44e5423b998e21a552c55af91bfa3061760aae9573fdb071a8c56b34a103d5","Chasidut/Early Works"
"CENSUS","chasidut/maor-vashemesh","Maor VaShemesh","מאור ושמש","PACKET_A_URL_PATH+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/accepted-3961-q40-selected-safe-whole-work-25-v1/pass/chasidut-maor-vashemesh-da1febdf4c.json","97c913452c3e7f6cb90e11101b93162c1a08708d6bbc49f520dcb0d2a8641beb","Chasidut/Other Chasidut Works"
"CENSUS","chasidut/mekor-mayim-chayim-on-baal-shem-tov","Mekor Mayim Chayim on Baal Shem Tov","מקור מים חיים על בעל שם טוב","PACKET_A_URL_PATH+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/legacy-ascii-geresh-repair-mekor-mayim-chayim-accepted-3834-v1/pass/chasidut-mekor-mayim-chayim-on-baal-shem-tov-e5484d5122.json","ee1563a00159979147b96284983d75ac5b5e31f855b64c1d388fe00b14db5ad5","Chasidut/Other Chasidut Works"
"CENSUS","chasidut/meor-einayim","Me'or Einayim","מאור עינים","PACKET_A_URL_PATH+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/legacy-ascii-geresh-repair-deeper-high-unlock-accepted-3905-three-clean-position-valid-v1/pass/chasidut-meor-einayim-1f2497b1fa.json","1eef57cafc01dd55998a767ef87948d502377174e88ab88779c6a375e00eba8d","Chasidut/Early Works"
"CENSUS","chasidut/meshiv-hata-anah","NLI","משיב הטענה","PACKET_A_URL_PATH+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/sefaria-bson-surface-aware-unit-shape-schema-order-nli-v1/pass/chasidut-meshiv-hata-anah-b1fadf7151.json","89cc6175888e9af15af2e87458f97bd11cd81b9218d5e1f6e0bb48c56003b954","Chasidut/R' Tzadok HaKohen"
"CENSUS","chasidut/meshiv-tzedek","Meshiv Tzedek","משיב צדק","PACKET_B_SELECTED_TITLE_VERBATIM+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/sefaria-bson-surface-aware-exact-total-provenance/pass/chasidut-meshiv-tzedek-d31138af6c.json","51bae6f40cc83affdef3da0b234d551f65fc6e03400d6a4cb91115a47c1545d2","Chasidut/R' Tzadok HaKohen"
"CENSUS","chasidut/mevo-hashearim","Mevo HaShearim 1","מבוא השערים","PACKET_A_URL_PATH+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/sefaria-bson-surface-aware-unit-shape-schema-order-v1/pass/chasidut-mevo-hashearim-22ef7a0002.json","0e1fcbf4e0c44ad676f01f899b2071a4b0fee3dd838f480401f18be5cc15a418","Chasidut/Piaseczno Rebbe"
"CENSUS","chasidut/noam-elimelech","נועם אלימלך","","PACKET_A_URL_PATH","rebuild-c0-w/source-cache/active-token-streams/wikisource-approved80/pass/chasidut-noam-elimelech-2ca83cd5f2.json","9d36fad73de2611b3a057d38b8c1cf2dbc49594cc9c0a66a904eeb1656bba611",""
"CENSUS","chasidut/noam-elimelekh","Noam Elimelekh","נועם אלימלך","PACKET_A_URL_PATH+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/legacy-ascii-geresh-repair-high-unlock-secondary-schema-position-valid-accepted-3887-v1/pass/chasidut-noam-elimelekh-ea3f020e39.json","0f407711f214a6207c2ee8e44d18698dbdc0c2343d9543d284e81e4f80b74674","Chasidut/Early Works"
"CENSUS","chasidut/ohev-yisrael","Ohev Yisrael","אוהב ישראל","PACKET_A_URL_PATH+SEFARIA_INDEX_HE","rebuild-c0-w/source-cache/active-token-streams/legacy-ascii-geresh-repair-deeper-high-unlock-accepted-3908-three-clean-position-valid-v1/pass/chasidut-ohev-yisrael-ffa1242db2.json","7347270d636da1e28b4f66398599b182840848ebe32f55451ef2e977307b6a1c","Chasidut/Other Chasidut Works"
