work_id,state
"second-temple/the-book-of-maccabees-i-kahana-translation",TYPED_ABSENT_NO_ATTESTATION_PACKET
"second-temple/the-book-of-susanna",TYPED_ABSENT_NO_ATTESTATION_PACKET
"second-temple/the-testaments-of-the-twelve-patriarchs",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tanakh/aderet-eliyahu-rabbi-yosef-chaim",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tanakh/ba-alei-brit-avram",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tanakh/eretz-chemdah",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tanakh/esther",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tanakh/jonah",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tanakh/leviticus",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tanakh/malbim-ayelet-hashachar",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tanakh/mizrachi",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tanakh/numbers",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tanakh/od-yosef-chai-derashot",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tanakh/pardes-yosef",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tanakh/ralbag-esther",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tanakh/ralbag-ruth",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tanakh/ruth",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tanakh/targum-neofiti",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tanakh/tur-haarokh",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tanakh/tzaverei-shalal",TYPED_ABSENT_NO_ATTESTATION_PACKET
"targum/aramaic-targum-to-ruth",TYPED_ABSENT_NO_ATTESTATION_PACKET
"targum/targum-jonathan-on-haggai",TYPED_ABSENT_NO_ATTESTATION_PACKET
"targum/targum-jonathan-on-joel",TYPED_ABSENT_NO_ATTESTATION_PACKET
"targum/targum-jonathan-on-jonah",TYPED_ABSENT_NO_ATTESTATION_PACKET
"targum/targum-jonathan-on-malachi",TYPED_ABSENT_NO_ATTESTATION_PACKET
"targum/targum-jonathan-on-nahum",TYPED_ABSENT_NO_ATTESTATION_PACKET
"targum/targum-jonathan-on-numbers",TYPED_ABSENT_NO_ATTESTATION_PACKET
"targum/targum-jonathan-on-obadiah",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-arakhin",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-avodah-zarah",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-bava-metzia",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-bava-metzia-lieberman",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-beitzah",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-bekhorot",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-bikkurim",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-chagigah",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-chagigah-lieberman",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-challah",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-challah-lieberman",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-chullin",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-demai-lieberman",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-eduyot",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-eruvin-lieberman",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-gittin-lieberman",TYPED_ABSENT_NO_ATTESTATION_PACKET
"tosefta/tosefta-horayot",TYPED_ABSENT_NO_ATTESTATION_PACKET
