clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
חבול,חבול,1,0,60,,,,,,unresolved,No lexical entry yet.
חבולים,חבולימ,1,0,60,,,,,,unresolved,No lexical entry yet.
חבורה,חבורה,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
חבוש,חבוש,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
חביב,חביב,3,0,60,,,,,,unresolved,No lexical entry yet.
חביבה,חביבה,5,0,60,,,,,,unresolved,No lexical entry yet.
חביבים,חביבימ,3,0,60,,,,,,unresolved,No lexical entry yet.
חביבין,חביבינ,5,0,60,,,,,,unresolved,No lexical entry yet.
חביות,חביות,1,0,60,,,,,,unresolved,No lexical entry yet.
חבילות,חבילות,2,0,60,,,,,,unresolved,No lexical entry yet.
חבירו,חבירו,16,0,60,,,,,,unresolved,No lexical entry yet.
חביריו,חביריו,1,0,60,,,,,,unresolved,No lexical entry yet.
חבירך,חבירכ,2,0,60,,,,,,unresolved,No lexical entry yet.
חבל,חבל,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
חבלה,חבלה,5,0,60,,,,,,unresolved,No lexical entry yet.
חבלוני,חבלוני,1,0,60,,,,,,unresolved,No lexical entry yet.
חבלי,חבלי,6,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
חבלים,חבלימ,9,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
חבצלת,חבצלת,4,93,60,claim-34c0aeeeafd8288e,Pancratium,Wikidata Lexeme,L65124,CC0,safe_claims_min60,
חבקוק,חבקוק,31,0,60,,,,,,unresolved,No lexical entry yet.
חבר,חבר,5,0,60,,,,,,unresolved,No lexical entry yet.
חברו,חברו,5,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
חברותיה,חברותיה,2,0,60,,,,,,unresolved,No lexical entry yet.
חבריא,חבריא,1,0,60,,,,,,unresolved,No lexical entry yet.
חבריה,חבריה,1,0,60,,,,,,unresolved,No lexical entry yet.
חברים,חברימ,4,0,60,,,,,,unresolved,No lexical entry yet.
חג,חג,6,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
חגאי,חגאי,1,0,60,,,,,,unresolved,No lexical entry yet.
חגור,חגור,1,0,60,,,,,,unresolved,No lexical entry yet.
חגי,חגי,7,93,60,claim-ac637e5846040780,holiday,Wikidata Lexeme,L65132,CC0,safe_claims_min60,
חגית,חגית,1,0,60,,,,,,unresolved,No lexical entry yet.
חגרן,חגרנ,1,0,60,,,,,,unresolved,No lexical entry yet.
חד,חד,28,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
חדא,חדא,7,0,60,,,,,,unresolved,No lexical entry yet.
חדה,חדה,1,0,60,,,,,,unresolved,No lexical entry yet.
חדותא,חדותא,2,0,60,,,,,,unresolved,No lexical entry yet.
חדי,חדי,2,0,60,,,,,,unresolved,No lexical entry yet.
חדל,חדל,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
חדלו,חדלו,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
חדש,חדש,30,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
חדשה,חדשה,9,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
חדשו,חדשו,1,0,60,,,,,,unresolved,No lexical entry yet.
חדשות,חדשות,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
חדשים,חדשימ,11,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
חוב,חוב,2,0,60,,,,,,unresolved,No lexical entry yet.
חובב,חובב,1,0,60,,,,,,unresolved,No lexical entry yet.
חובה,חובה,4,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
חובו,חובו,2,0,60,,,,,,unresolved,No lexical entry yet.
חובות,חובות,1,63,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
חובי,חובי,2,0,60,,,,,,unresolved,No lexical entry yet.
חובייא,חובייא,1,0,60,,,,,,unresolved,No lexical entry yet.
חובין,חובינ,2,0,60,,,,,,unresolved,No lexical entry yet.
חובקת,חובקת,1,0,60,,,,,,unresolved,No lexical entry yet.
חובר,חובר,1,0,60,,,,,,unresolved,No lexical entry yet.
חובתו,חובתו,2,0,60,,,,,,unresolved,No lexical entry yet.
חוג,חוג,1,93,60,claim-853217f5e8bcce5a,circle (of people),Wikidata Lexeme,L65152,CC0,safe_claims_min60,
חוגג,חוגג,2,0,60,,,,,,unresolved,No lexical entry yet.
חוגים,חוגימ,1,0,60,,,,,,unresolved,No lexical entry yet.
חוגרו,חוגרו,1,0,60,,,,,,unresolved,No lexical entry yet.
חוד,חוד,1,0,60,,,,,,unresolved,No lexical entry yet.
חוה,חוה,4,0,60,,,,,,unresolved,No lexical entry yet.
חוור,חוור,1,0,60,,,,,,unresolved,No lexical entry yet.
חוזר,חוזר,8,0,60,,,,,,unresolved,No lexical entry yet.
